Rate   Price       Weekly x  Annual x
 8.3%    $375,904    626x     12x
 8.4%    $371,429    619x     11x
 8.5%    $367,059    611x     11x
 8.6%    $362,791    604x     11x
 8.7%    $358,621    597x     11x
 8.8%    $354,545    590x     11x
 8.9%    $350,562    584x     11x
 9.0%    $346,667    577x     11x
 9.1%    $342,857    571x     10x
 9.2%    $339,130    565x     10x
 9.3%    $335,484    559x     10x
 9.4%    $331,915    553x     10x
 9.5%    $328,421    547x     10x
 9.6%    $325,000    541x     10x
 9.7%    $321,649    536x     10x
 9.8%    $318,367    530x     10x
 9.9%    $315,152    525x     10x
10.0%    $312,000    519x      9x
10.1%    $308,911    514x      9x
10.2%    $305,882    509x      9x
10.3%    $302,913    504x      9x
10.4%    $300,000    499x      9x
10.5%    $297,143    495x      9x
10.6%    $294,340    490x      9x
10.7%    $291,589    485x      9x
10.8%    $288,889    481x      9x
10.9%    $286,239    477x      9x
11.0%    $283,636    472x      9x
11.1%    $281,081    468x      9x
11.2%    $278,571    464x      8x
11.3%    $276,106    460x      8x
11.4%    $273,684    456x      8x
11.5%    $271,304    452x      8x
11.6%    $268,966    448x      8x
11.7%    $266,667    444x      8x
11.8%    $264,407    440x      8x
11.9%    $262,185    436x      8x
12.0%    $260,000    433x      8x
12.1%    $257,851    429x      8x
12.2%    $255,738    426x      8x
12.3%    $253,659    422x      8x
12.4%    $251,613    419x      8x
12.5%    $249,600    415x      7x
12.6%    $247,619    412x      7x
12.7%    $245,669    409x      7x
12.8%    $243,750    406x      7x
12.9%    $241,860    403x      7x
13.0%    $240,000    399x      7x
13.1%    $238,168    396x      7x
13.2%    $236,364    393x      7x
13.3%    $234,586    390x      7x
13.4%    $232,836    388x      7x
13.5%    $231,111    385x      7x
13.6%    $229,412    382x      7x
13.6%    $227,737    379x      7x
13.8%    $226,087    376x      7x
13.9%    $224,460    374x      7x
14.0%    $222,857    371x      7x
14.0%    $221,277    368x      7x
14.2%    $219,718    366x      7x
14.3%    $218,182    363x      6x
14.4%    $216,667    361x      6x
14.4%    $215,172    358x      6x
14.6%    $213,699    356x      6x
14.7%    $212,245    353x      6x
14.8%    $210,811    351x      6x
14.9%    $209,396    348x      6x
15.0%    $208,000    346x      6x
15.1%    $206,623    344x      6x
15.2%    $205,263    342x      6x
15.3%    $203,922    339x      6x
15.4%    $202,597    337x      6x
15.5%    $201,290    335x      6x
15.6%    $200,000    333x      6x
15.7%    $198,726    331x      6x
15.8%    $197,468    329x      6x
15.9%    $196,226    327x      6x
16.0%    $195,000    325x      6x
16.1%    $193,789    322x      6x
16.2%    $192,593    320x      6x
16.3%    $191,411    319x      6x
16.4%    $190,244    317x      6x
16.5%    $189,091    315x      6x
16.6%    $187,952    313x      6x
16.7%    $186,826    311x      5x
16.8%    $185,714    309x      5x
16.9%    $184,615    307x      5x
17.0%    $183,529    305x      5x
17.1%    $182,456    304x      5x
17.2%    $181,395    302x      5x
17.3%    $180,347    300x      5x
17.4%    $179,310    298x      5x
17.5%    $178,286    297x      5x
17.6%    $177,273    295x      5x
17.7%    $176,271    293x      5x
17.8%    $175,281    292x      5x
17.9%    $174,302    290x      5x
18.0%    $173,333    288x      5x
18.1%    $172,376    287x      5x
18.2%    $171,429    285x      5x
18.3%    $170,492    284x      5x
18.4%    $169,565    282x      5x
18.5%    $168,649    281x      5x
18.6%    $167,742    279x      5x
18.7%    $166,845    278x      5x
18.9%    $165,079    275x      5x
19.0%    $164,211    273x      5x
19.1%    $163,351    272x      5x
19.2%    $162,500    270x      5x
19.3%    $161,658    269x      5x
19.4%    $160,825    268x      5x
19.5%    $160,000    266x      5x
19.6%    $159,184    265x      5x
19.7%    $158,376    263x      5x
19.8%    $157,576    262x      5x
19.9%    $156,784    261x      5x
20.0%    $156,000    259x      4x
