Rate   Price       Weekly x  Annual x
~~~~   ~~~~~       ~~~~~~~~  ~~~~~~~~

 0.0%  $7,800,000  13000x    250x
 0.1%  $6,898,380  11497x    221x
 0.2%  $6,133,396  10222x    196x
 0.3%  $5,481,869   9136x    175x
 0.4%  $4,924,811   8208x    157x
 0.5%  $4,446,633   7411x    142x
 0.6%  $4,034,511   6724x    129x
 0.7%  $3,677,871   6129x    117x
 0.7%  $3,677,871   6129x    117x
 0.9%  $3,097,587   5162x     99x
 0.9%  $3,097,587   5162x     99x
 1.0%  $2,860,695   4767x     91x
 1.2%  $2,468,221   4113x     79x
 1.3%  $2,304,972   3841x     73x
 1.4%  $2,159,621   3599x     69x
 1.5%  $2,029,702   3382x     65x
 1.6%  $1,913,136   3188x     61x
 1.7%  $1,808,163   3013x     57x
 1.8%  $1,713,291   2855x     54x
 1.9%  $1,627,251   2712x     52x
 2.0%  $1,548,957   2581x     49x
 2.1%  $1,477,482   2462x     47x
 2.2%  $1,412,030   2353x     45x
 2.3%  $1,351,914   2253x     43x
 2.4%  $1,296,541   2160x     41x
 2.5%  $1,245,398   2075x     39x
 2.6%  $1,198,040   1996x     38x
 2.7%  $1,154,076   1923x     36x
 2.8%  $1,113,167   1855x     35x
 2.9%  $1,075,015   1791x     34x
 3.0%  $1,039,358   1732x     33x
 3.1%  $1,005,964   1676x     32x
 3.2%    $974,629   1624x     31x
 3.3%    $945,172   1575x     30x
 3.4%    $917,432   1529x     29x
 3.5%    $891,265   1485x     28x
 3.6%    $866,541   1444x     27x
 3.7%    $843,147   1405x     27x
 3.8%    $820,979   1368x     26x
 3.9%    $799,944   1333x     25x
 4.0%    $779,957   1299x     24x
 4.1%    $760,943   1268x     24x
 4.2%    $742,832   1238x     23x
 4.3%    $725,562   1209x     23x
 4.4%    $709,076   1181x     22x
 4.5%    $693,322   1155x     22x
 4.6%    $678,252   1130x     21x
 4.6%    $678,252   1130x     21x
 4.7%    $663,823   1106x     21x
 4.8%    $649,995   1083x     20x
 4.9%    $636,731   1061x     20x
 5.0%    $623,997   1039x     19x
 5.1%    $611,762   1019x     19x
 5.2%    $599,998    999x     19x
 5.3%    $588,678    981x     18x
 5.4%    $577,777    962x     18x
 5.5%    $567,272    945x     18x
 5.6%    $557,142    928x     17x
 5.7%    $547,368    912x     17x
 5.8%    $537,931    896x     17x
 5.9%    $528,813    881x     16x
 6.0%    $520,000    866x     16x
 6.1%    $511,475    852x     16x
 6.2%    $503,226    838x     16x
 6.3%    $495,238    825x     15x
 6.4%    $487,500    812x     15x
 6.5%    $480,000    799x     15x
 6.6%    $472,727    787x     15x
 6.7%    $465,672    776x     14x
 6.8%    $458,823    764x     14x
 6.9%    $452,174    753x     14x
 7.0%    $445,714    742x     14x
 7.1%    $439,437    732x     14x
 7.2%    $433,333    722x     13x
 7.3%    $427,397    712x     13x
 7.4%    $421,622    702x     13x
 7.5%    $416,000    693x     13x
 7.6%    $410,526    684x     13x
 7.7%    $405,195    675x     12x
 7.8%    $400,000    666x     12x
 7.9%    $394,937    658x     12x
 8.0%    $390,000    649x     12x
 8.1%    $385,185    641x     12x
 8.2%    $380,488    634x     12x
