Rate   Price       Weekly x  Annual x
 8.2%    $539,024    634x     12x
 8.3%    $532,530    626x     12x
 8.4%    $526,190    619x     11x
 8.5%    $520,000    611x     11x
 8.6%    $513,953    604x     11x
 8.7%    $508,046    597x     11x
 8.8%    $502,273    590x     11x
 8.9%    $496,629    584x     11x
 9.0%    $491,111    577x     11x
 9.1%    $485,714    571x     10x
 9.2%    $480,435    565x     10x
 9.3%    $475,269    559x     10x
 9.4%    $470,213    553x     10x
 9.5%    $465,263    547x     10x
 9.6%    $460,417    541x     10x
 9.7%    $455,670    536x     10x
 9.8%    $451,020    530x     10x
 9.9%    $446,465    525x     10x
10.0%    $442,000    519x      9x
10.1%    $437,624    514x      9x
10.2%    $433,333    509x      9x
10.3%    $429,126    504x      9x
10.4%    $425,000    499x      9x
10.5%    $420,952    495x      9x
10.6%    $416,981    490x      9x
10.7%    $413,084    485x      9x
10.8%    $409,259    481x      9x
10.9%    $405,505    477x      9x
11.0%    $401,818    472x      9x
11.1%    $398,198    468x      9x
11.2%    $394,643    464x      8x
11.3%    $391,150    460x      8x
11.4%    $387,719    456x      8x
11.5%    $384,348    452x      8x
11.6%    $381,034    448x      8x
11.7%    $377,778    444x      8x
11.8%    $374,576    440x      8x
11.9%    $371,429    436x      8x
12.0%    $368,333    433x      8x
12.1%    $365,289    429x      8x
12.2%    $362,295    426x      8x
12.3%    $359,350    422x      8x
12.4%    $356,452    419x      8x
12.5%    $353,600    415x      7x
12.6%    $350,794    412x      7x
12.7%    $348,031    409x      7x
12.8%    $345,312    406x      7x
12.9%    $342,636    403x      7x
13.0%    $340,000    399x      7x
13.1%    $337,405    396x      7x
13.2%    $334,848    393x      7x
13.3%    $332,331    390x      7x
13.4%    $329,851    388x      7x
13.5%    $327,407    385x      7x
13.6%    $325,000    382x      7x
13.6%    $322,628    379x      7x
13.8%    $320,290    376x      7x
13.9%    $317,986    374x      7x
14.0%    $315,714    371x      7x
14.0%    $313,475    368x      7x
14.2%    $311,268    366x      7x
14.3%    $309,091    363x      6x
14.4%    $306,944    361x      6x
14.4%    $304,828    358x      6x
14.6%    $302,740    356x      6x
14.7%    $300,680    353x      6x
14.8%    $298,649    351x      6x
14.9%    $296,644    348x      6x
15.0%    $294,667    346x      6x
15.1%    $292,715    344x      6x
15.2%    $290,789    342x      6x
15.3%    $288,889    339x      6x
15.4%    $287,013    337x      6x
15.5%    $285,161    335x      6x
15.6%    $283,333    333x      6x
15.7%    $281,529    331x      6x
15.8%    $279,747    329x      6x
15.9%    $277,987    327x      6x
16.0%    $276,250    324x      6x
16.1%    $274,534    322x      6x
16.2%    $272,840    320x      6x
16.3%    $271,166    319x      6x
16.4%    $269,512    317x      6x
16.5%    $267,879    315x      6x
16.6%    $266,265    313x      6x
16.7%    $264,671    311x      5x
16.8%    $263,095    309x      5x
16.9%    $261,538    307x      5x
17.0%    $260,000    305x      5x
17.1%    $258,480    304x      5x
17.2%    $256,977    302x      5x
17.3%    $255,491    300x      5x
17.4%    $254,023    298x      5x
17.5%    $252,571    297x      5x
17.6%    $251,136    295x      5x
17.7%    $249,718    293x      5x
17.8%    $248,315    292x      5x
17.9%    $246,927    290x      5x
18.0%    $245,556    288x      5x
18.1%    $244,199    287x      5x
18.2%    $242,857    285x      5x
18.3%    $241,530    284x      5x
18.4%    $240,217    282x      5x
18.5%    $238,919    281x      5x
18.6%    $237,634    279x      5x
18.7%    $236,364    278x      5x
18.9%    $233,862    275x      5x
19.0%    $232,632    273x      5x
19.1%    $231,414    272x      5x
19.2%    $230,208    270x      5x
19.3%    $229,016    269x      5x
19.4%    $227,835    268x      5x
19.5%    $226,667    266x      5x
19.6%    $225,510    265x      5x
19.7%    $224,365    263x      5x
19.8%    $223,232    262x      5x
19.9%    $222,111    261x      5x
20.0%    $221,000    260x      5x
