Rate   Price       Weekly x  Annual x
~~~~   ~~~~~       ~~~~~~~~  ~~~~~~~~

 0.0%  $11,050,000  13000x    250x
 0.1%  $9,772,705  11497x    221x
 0.2%  $8,688,978  10222x    196x
 0.3%  $7,765,981   9136x    175x
 0.4%  $6,976,816   8208x    157x
 0.5%  $6,299,397   7411x    142x
 0.6%  $5,715,557   6724x    129x
 0.7%  $5,210,317   6129x    117x
 0.7%  $5,210,317   6129x    117x
 0.9%  $4,388,248   5162x     99x
 0.9%  $4,388,248   5162x     99x
 1.0%  $4,052,651   4767x     91x
 1.2%  $3,496,647   4113x     79x
 1.3%  $3,265,378   3841x     73x
 1.4%  $3,059,463   3599x     69x
 1.5%  $2,875,411   3382x     65x
 1.6%  $2,710,275   3188x     61x
 1.7%  $2,561,564   3013x     57x
 1.8%  $2,427,163   2855x     54x
 1.9%  $2,305,272   2712x     52x
 2.0%  $2,194,356   2581x     49x
 2.1%  $2,093,100   2462x     47x
 2.2%  $2,000,376   2353x     45x
 2.3%  $1,915,211   2253x     43x
 2.4%  $1,836,766   2160x     41x
 2.5%  $1,764,314   2075x     39x
 2.6%  $1,697,223   1996x     38x
 2.7%  $1,634,941   1923x     36x
 2.8%  $1,576,987   1855x     35x
 2.9%  $1,522,938   1791x     34x
 3.0%  $1,472,423   1732x     33x
 3.1%  $1,425,116   1676x     32x
 3.2%  $1,380,725   1624x     31x
 3.3%  $1,338,994   1575x     30x
 3.4%  $1,299,695   1529x     29x
 3.5%  $1,262,625   1485x     28x
 3.6%  $1,227,600   1444x     27x
 3.7%  $1,194,459   1405x     27x
 3.8%  $1,163,054   1368x     26x
 3.9%  $1,133,254   1333x     25x
 4.0%  $1,104,939   1299x     24x
 4.1%  $1,078,002   1268x     24x
 4.2%  $1,052,345   1238x     23x
 4.3%  $1,027,879   1209x     23x
 4.4%  $1,004,524   1181x     22x
 4.5%    $982,206   1155x     22x
 4.6%    $960,857   1130x     21x
 4.6%    $960,857   1130x     21x
 4.7%    $940,416   1106x     21x
 4.8%    $920,826   1083x     20x
 4.9%    $902,035   1061x     20x
 5.0%    $883,996   1039x     19x
 5.1%    $866,663   1019x     19x
 5.2%    $849,997    999x     19x
 5.3%    $833,960    981x     18x
 5.4%    $818,517    962x     18x
 5.5%    $803,635    945x     18x
 5.6%    $789,285    928x     17x
 5.7%    $775,438    912x     17x
 5.8%    $762,068    896x     17x
 5.9%    $749,152    881x     16x
 6.0%    $736,666    866x     16x
 6.1%    $724,590    852x     16x
 6.2%    $712,903    838x     16x
 6.3%    $701,587    825x     15x
 6.4%    $690,625    812x     15x
 6.5%    $680,000    799x     15x
 6.6%    $669,697    787x     15x
 6.7%    $659,701    776x     14x
 6.8%    $650,000    764x     14x
 6.9%    $640,580    753x     14x
 7.0%    $631,429    742x     14x
 7.1%    $622,535    732x     14x
 7.2%    $613,889    722x     13x
 7.3%    $605,479    712x     13x
 7.4%    $597,297    702x     13x
 7.5%    $589,333    693x     13x
 7.6%    $581,579    684x     13x
 7.7%    $574,026    675x     12x
 7.8%    $566,667    666x     12x
 7.9%    $559,494    658x     12x
 8.0%    $552,500    649x     12x
 8.1%    $545,679    641x     12x
