Rate   Price       Weekly x  Annual x
~~~~   ~~~~~       ~~~~~~~~  ~~~~~~~~

 0.0%  $10,400,000  13000x    250x
 0.1%  $9,197,840  11497x    221x
 0.2%  $8,177,861  10222x    196x
 0.3%  $7,309,159   9136x    175x
 0.4%  $6,566,415   8208x    157x
 0.5%  $5,928,844   7411x    142x
 0.6%  $5,379,348   6724x    129x
 0.7%  $4,903,828   6129x    117x
 0.7%  $4,903,828   6129x    117x
 0.9%  $4,130,116   5162x     99x
 0.9%  $4,130,116   5162x     99x
 1.0%  $3,814,260   4767x     91x
 1.2%  $3,290,962   4113x     79x
 1.3%  $3,073,296   3841x     73x
 1.4%  $2,879,494   3599x     69x
 1.5%  $2,706,269   3382x     65x
 1.6%  $2,550,847   3188x     61x
 1.7%  $2,410,884   3013x     57x
 1.8%  $2,284,389   2855x     54x
 1.9%  $2,169,668   2712x     52x
 2.0%  $2,065,276   2581x     49x
 2.1%  $1,969,977   2462x     47x
 2.2%  $1,882,707   2353x     45x
 2.3%  $1,802,552   2253x     43x
 2.4%  $1,728,721   2160x     41x
 2.5%  $1,660,531   2075x     39x
 2.6%  $1,597,386   1996x     38x
 2.7%  $1,538,768   1923x     36x
 2.8%  $1,484,223   1855x     35x
 2.9%  $1,433,353   1791x     34x
 3.0%  $1,385,810   1732x     33x
 3.1%  $1,341,285   1676x     32x
 3.2%  $1,299,506   1624x     31x
 3.3%  $1,260,230   1575x     30x
 3.4%  $1,223,243   1529x     29x
 3.5%  $1,188,353   1485x     28x
 3.6%  $1,155,389   1444x     27x
 3.7%  $1,124,197   1405x     27x
 3.8%  $1,094,639   1368x     26x
 3.9%  $1,066,592   1333x     25x
 4.0%  $1,039,943   1299x     24x
 4.1%  $1,014,590   1268x     24x
 4.2%    $990,442   1238x     23x
 4.3%    $967,416   1209x     23x
 4.4%    $945,435   1181x     22x
 4.5%    $924,429   1155x     22x
 4.6%    $904,336   1130x     21x
 4.6%    $904,336   1130x     21x
 4.7%    $885,097   1106x     21x
 4.8%    $866,660   1083x     20x
 4.9%    $848,974   1061x     20x
 5.0%    $831,996   1039x     19x
 5.1%    $815,683   1019x     19x
 5.2%    $799,997    999x     19x
 5.3%    $784,904    981x     18x
 5.4%    $770,369    962x     18x
 5.5%    $756,362    945x     18x
 5.6%    $742,856    928x     17x
 5.7%    $729,824    912x     17x
 5.8%    $717,241    896x     17x
 5.9%    $705,084    881x     16x
 6.0%    $693,333    866x     16x
 6.1%    $681,967    852x     16x
 6.2%    $670,968    838x     16x
 6.3%    $660,317    825x     15x
 6.4%    $650,000    812x     15x
 6.5%    $640,000    799x     15x
 6.6%    $630,303    787x     15x
 6.7%    $620,895    776x     14x
 6.8%    $611,765    764x     14x
 6.9%    $602,899    753x     14x
 7.0%    $594,286    742x     14x
 7.1%    $585,915    732x     14x
 7.2%    $577,778    722x     13x
 7.3%    $569,863    712x     13x
 7.4%    $562,162    702x     13x
 7.5%    $554,667    693x     13x
 7.6%    $547,368    684x     13x
 7.7%    $540,260    675x     12x
 7.8%    $533,333    666x     12x
 7.9%    $526,582    658x     12x
 8.0%    $520,000    649x     12x
 8.1%    $513,580    641x     12x
