Rate   Price       Weekly x  Annual x
 8.2%    $507,317    634x     12x
 8.3%    $501,205    626x     12x
 8.4%    $495,238    619x     11x
 8.5%    $489,412    611x     11x
 8.6%    $483,721    604x     11x
 8.7%    $478,161    597x     11x
 8.8%    $472,727    590x     11x
 8.9%    $467,416    584x     11x
 9.0%    $462,222    577x     11x
 9.1%    $457,143    571x     10x
 9.2%    $452,174    565x     10x
 9.3%    $447,312    559x     10x
 9.4%    $442,553    553x     10x
 9.5%    $437,895    547x     10x
 9.6%    $433,333    541x     10x
 9.7%    $428,866    536x     10x
 9.8%    $424,490    530x     10x
 9.9%    $420,202    525x     10x
10.0%    $416,000    519x      9x
10.1%    $411,881    514x      9x
10.2%    $407,843    509x      9x
10.3%    $403,883    504x      9x
10.4%    $400,000    499x      9x
10.5%    $396,190    495x      9x
10.6%    $392,453    490x      9x
10.7%    $388,785    485x      9x
10.8%    $385,185    481x      9x
10.9%    $381,651    477x      9x
11.0%    $378,182    472x      9x
11.1%    $374,775    468x      9x
11.2%    $371,429    464x      8x
11.3%    $368,142    460x      8x
11.4%    $364,912    456x      8x
11.5%    $361,739    452x      8x
11.6%    $358,621    448x      8x
11.7%    $355,556    444x      8x
11.8%    $352,542    440x      8x
11.9%    $349,580    436x      8x
12.0%    $346,667    433x      8x
12.1%    $343,802    429x      8x
12.2%    $340,984    426x      8x
12.3%    $338,211    422x      8x
12.4%    $335,484    419x      8x
12.5%    $332,800    415x      7x
12.6%    $330,159    412x      7x
12.7%    $327,559    409x      7x
12.8%    $325,000    406x      7x
12.9%    $322,481    403x      7x
13.0%    $320,000    399x      7x
13.1%    $317,557    396x      7x
13.2%    $315,152    393x      7x
13.3%    $312,782    390x      7x
13.4%    $310,448    388x      7x
13.5%    $308,148    385x      7x
13.6%    $305,882    382x      7x
13.6%    $303,650    379x      7x
13.8%    $301,449    376x      7x
13.9%    $299,281    374x      7x
14.0%    $297,143    371x      7x
14.0%    $295,035    368x      7x
14.2%    $292,958    366x      7x
14.3%    $290,909    363x      6x
14.4%    $288,889    361x      6x
14.4%    $286,897    358x      6x
14.6%    $284,932    356x      6x
14.7%    $282,993    353x      6x
14.8%    $281,081    351x      6x
14.9%    $279,195    348x      6x
15.0%    $277,333    346x      6x
15.1%    $275,497    344x      6x
15.2%    $273,684    342x      6x
15.3%    $271,895    339x      6x
15.4%    $270,130    337x      6x
15.5%    $268,387    335x      6x
15.6%    $266,667    333x      6x
15.7%    $264,968    331x      6x
15.8%    $263,291    329x      6x
15.9%    $261,635    327x      6x
16.0%    $260,000    324x      6x
16.1%    $258,385    322x      6x
16.2%    $256,790    320x      6x
16.3%    $255,215    319x      6x
16.4%    $253,659    317x      6x
16.5%    $252,121    315x      6x
16.6%    $250,602    313x      6x
16.7%    $249,102    311x      5x
16.8%    $247,619    309x      5x
16.9%    $246,154    307x      5x
17.0%    $244,706    305x      5x
17.1%    $243,275    304x      5x
17.2%    $241,860    302x      5x
17.3%    $240,462    300x      5x
17.4%    $239,080    298x      5x
17.5%    $237,714    297x      5x
17.6%    $236,364    295x      5x
17.7%    $235,028    293x      5x
17.8%    $233,708    292x      5x
17.9%    $232,402    290x      5x
18.0%    $231,111    288x      5x
18.1%    $229,834    287x      5x
18.2%    $228,571    285x      5x
18.3%    $227,322    284x      5x
18.4%    $226,087    282x      5x
18.5%    $224,865    281x      5x
18.6%    $223,656    279x      5x
18.7%    $222,460    278x      5x
18.9%    $220,106    275x      5x
19.0%    $218,947    273x      5x
19.1%    $217,801    272x      5x
19.2%    $216,667    270x      5x
19.3%    $215,544    269x      5x
19.4%    $214,433    268x      5x
19.5%    $213,333    266x      5x
19.6%    $212,245    265x      5x
19.7%    $211,168    263x      5x
19.8%    $210,101    262x      5x
19.9%    $209,045    261x      5x
20.0%    $208,000    260x      5x
