Rate   Price       Weekly x  Annual x
 8.1%    $609,877    641x     12x
 8.2%    $602,439    634x     12x
 8.3%    $595,181    626x     12x
 8.4%    $588,095    619x     11x
 8.5%    $581,176    611x     11x
 8.6%    $574,419    604x     11x
 8.7%    $567,816    597x     11x
 8.8%    $561,364    590x     11x
 8.9%    $555,056    584x     11x
 9.0%    $548,889    577x     11x
 9.1%    $542,857    571x     10x
 9.2%    $536,957    565x     10x
 9.3%    $531,183    559x     10x
 9.4%    $525,532    553x     10x
 9.5%    $520,000    547x     10x
 9.6%    $514,583    541x     10x
 9.7%    $509,278    536x     10x
 9.8%    $504,082    530x     10x
 9.9%    $498,990    525x     10x
10.0%    $494,000    519x      9x
10.1%    $489,109    514x      9x
10.2%    $484,314    509x      9x
10.3%    $479,612    504x      9x
10.4%    $475,000    499x      9x
10.5%    $470,476    495x      9x
10.6%    $466,038    490x      9x
10.7%    $461,682    485x      9x
10.8%    $457,407    481x      9x
10.9%    $453,211    477x      9x
11.0%    $449,091    472x      9x
11.1%    $445,045    468x      9x
11.2%    $441,071    464x      8x
11.3%    $437,168    460x      8x
11.4%    $433,333    456x      8x
11.5%    $429,565    452x      8x
11.6%    $425,862    448x      8x
11.7%    $422,222    444x      8x
11.8%    $418,644    440x      8x
11.9%    $415,126    436x      8x
12.0%    $411,667    433x      8x
12.1%    $408,264    429x      8x
12.2%    $404,918    426x      8x
12.3%    $401,626    422x      8x
12.4%    $398,387    419x      8x
12.5%    $395,200    415x      7x
12.6%    $392,063    412x      7x
12.7%    $388,976    409x      7x
12.8%    $385,937    406x      7x
12.9%    $382,946    403x      7x
13.0%    $380,000    399x      7x
13.1%    $377,099    396x      7x
13.2%    $374,242    393x      7x
13.3%    $371,429    390x      7x
13.4%    $368,657    388x      7x
13.5%    $365,926    385x      7x
13.6%    $363,235    382x      7x
13.6%    $360,584    379x      7x
13.8%    $357,971    376x      7x
13.9%    $355,396    374x      7x
14.0%    $352,857    371x      7x
14.0%    $350,355    368x      7x
14.2%    $347,887    366x      7x
14.3%    $345,455    363x      6x
14.4%    $343,056    361x      6x
14.4%    $340,690    358x      6x
14.6%    $338,356    356x      6x
14.7%    $336,054    353x      6x
14.8%    $333,784    351x      6x
14.9%    $331,544    348x      6x
15.0%    $329,333    346x      6x
15.1%    $327,152    344x      6x
15.2%    $325,000    342x      6x
15.3%    $322,876    339x      6x
15.4%    $320,779    337x      6x
15.5%    $318,710    335x      6x
15.6%    $316,667    333x      6x
15.7%    $314,650    331x      6x
15.8%    $312,658    329x      6x
15.9%    $310,692    327x      6x
16.0%    $308,750    325x      6x
16.1%    $306,832    322x      6x
16.2%    $304,938    320x      6x
16.3%    $303,067    319x      6x
16.4%    $301,220    317x      6x
16.5%    $299,394    315x      6x
16.6%    $297,590    313x      6x
16.7%    $295,808    311x      5x
16.8%    $294,048    309x      5x
16.9%    $292,308    307x      5x
17.0%    $290,588    305x      5x
17.1%    $288,889    304x      5x
17.2%    $287,209    302x      5x
17.3%    $285,549    300x      5x
17.4%    $283,908    298x      5x
17.5%    $282,286    297x      5x
17.6%    $280,682    295x      5x
17.7%    $279,096    293x      5x
17.8%    $277,528    292x      5x
17.9%    $275,978    290x      5x
18.0%    $274,444    288x      5x
18.1%    $272,928    287x      5x
18.2%    $271,429    285x      5x
18.3%    $269,945    284x      5x
18.4%    $268,478    282x      5x
18.5%    $267,027    281x      5x
18.6%    $265,591    279x      5x
18.7%    $264,171    278x      5x
18.9%    $261,376    275x      5x
19.0%    $260,000    273x      5x
19.1%    $258,639    272x      5x
19.2%    $257,292    270x      5x
19.3%    $255,959    269x      5x
19.4%    $254,639    268x      5x
19.5%    $253,333    266x      5x
19.6%    $252,041    265x      5x
19.7%    $250,761    263x      5x
19.8%    $249,495    262x      5x
19.9%    $248,241    261x      5x
20.0%    $247,000    260x      5x
