Rate   Price       Weekly x  Annual x
~~~~   ~~~~~       ~~~~~~~~  ~~~~~~~~

 0.0%  $12,350,000  13000x    250x
 0.1%  $10,922,435  11497x    221x
 0.2%  $9,711,210  10222x    196x
 0.3%  $8,679,626   9136x    175x
 0.4%  $7,797,617   8208x    157x
 0.5%  $7,040,502   7411x    142x
 0.6%  $6,387,976   6724x    129x
 0.7%  $5,823,296   6129x    117x
 0.7%  $5,823,296   6129x    117x
 0.9%  $4,904,512   5162x     99x
 0.9%  $4,904,512   5162x     99x
 1.0%  $4,529,434   4767x     91x
 1.2%  $3,908,017   4113x     79x
 1.3%  $3,649,540   3841x     73x
 1.4%  $3,419,400   3599x     69x
 1.5%  $3,213,694   3382x     65x
 1.6%  $3,029,131   3188x     61x
 1.7%  $2,862,925   3013x     57x
 1.8%  $2,712,712   2855x     54x
 1.9%  $2,576,481   2712x     52x
 2.0%  $2,452,515   2581x     49x
 2.1%  $2,339,347   2462x     47x
 2.2%  $2,235,714   2353x     45x
 2.3%  $2,140,530   2253x     43x
 2.4%  $2,052,857   2160x     41x
 2.5%  $1,971,881   2075x     39x
 2.6%  $1,896,896   1996x     38x
 2.7%  $1,827,287   1923x     36x
 2.8%  $1,762,514   1855x     35x
 2.9%  $1,702,107   1791x     34x
 3.0%  $1,645,650   1732x     33x
 3.1%  $1,592,776   1676x     32x
 3.2%  $1,543,163   1624x     31x
 3.3%  $1,496,523   1575x     30x
 3.4%  $1,452,601   1529x     29x
 3.5%  $1,411,169   1485x     28x
 3.6%  $1,372,024   1444x     27x
 3.7%  $1,334,983   1405x     27x
 3.8%  $1,299,884   1368x     26x
 3.9%  $1,266,578   1333x     25x
 4.0%  $1,234,932   1299x     24x
 4.1%  $1,204,826   1268x     24x
 4.2%  $1,176,150   1238x     23x
 4.3%  $1,148,806   1209x     23x
 4.4%  $1,122,704   1181x     22x
 4.5%  $1,097,760   1155x     22x
 4.6%  $1,073,899   1130x     21x
 4.6%  $1,073,899   1130x     21x
 4.7%  $1,051,053   1106x     21x
 4.8%  $1,029,158   1083x     20x
 4.9%  $1,008,157   1061x     20x
 5.0%    $987,995   1039x     19x
 5.1%    $968,624   1019x     19x
 5.2%    $949,997    999x     19x
 5.3%    $932,073    981x     18x
 5.4%    $914,813    962x     18x
 5.5%    $898,180    945x     18x
 5.6%    $882,142    928x     17x
 5.7%    $866,666    912x     17x
 5.8%    $851,723    896x     17x
 5.9%    $837,288    881x     16x
 6.0%    $823,333    866x     16x
 6.1%    $809,836    852x     16x
 6.2%    $796,774    838x     16x
 6.3%    $784,127    825x     15x
 6.4%    $771,875    812x     15x
 6.5%    $760,000    799x     15x
 6.6%    $748,485    787x     15x
 6.7%    $737,313    776x     14x
 6.8%    $726,471    764x     14x
 6.9%    $715,942    753x     14x
 7.0%    $705,714    742x     14x
 7.1%    $695,775    732x     14x
 7.2%    $686,111    722x     13x
 7.3%    $676,712    712x     13x
 7.4%    $667,568    702x     13x
 7.5%    $658,667    693x     13x
 7.6%    $650,000    684x     13x
 7.7%    $641,558    675x     12x
 7.8%    $633,333    666x     12x
 7.9%    $625,316    658x     12x
 8.0%    $617,500    649x     12x
