Rate   Price       Weekly x  Annual x
 8.3%    $438,554    626x     12x
 8.4%    $433,333    619x     11x
 8.5%    $428,235    611x     11x
 8.6%    $423,256    604x     11x
 8.7%    $418,391    597x     11x
 8.8%    $413,636    590x     11x
 8.9%    $408,989    584x     11x
 9.0%    $404,444    577x     11x
 9.1%    $400,000    571x     10x
 9.2%    $395,652    565x     10x
 9.3%    $391,398    559x     10x
 9.4%    $387,234    553x     10x
 9.5%    $383,158    547x     10x
 9.6%    $379,167    541x     10x
 9.7%    $375,258    536x     10x
 9.8%    $371,429    530x     10x
 9.9%    $367,677    525x     10x
10.0%    $364,000    519x      9x
10.1%    $360,396    514x      9x
10.2%    $356,863    509x      9x
10.3%    $353,398    504x      9x
10.4%    $350,000    499x      9x
10.5%    $346,667    495x      9x
10.6%    $343,396    490x      9x
10.7%    $340,187    485x      9x
10.8%    $337,037    481x      9x
10.9%    $333,945    477x      9x
11.0%    $330,909    472x      9x
11.1%    $327,928    468x      9x
11.2%    $325,000    464x      8x
11.3%    $322,124    460x      8x
11.4%    $319,298    456x      8x
11.5%    $316,522    452x      8x
11.6%    $313,793    448x      8x
11.7%    $311,111    444x      8x
11.8%    $308,475    440x      8x
11.9%    $305,882    436x      8x
12.0%    $303,333    433x      8x
12.1%    $300,826    429x      8x
12.2%    $298,361    426x      8x
12.3%    $295,935    422x      8x
12.4%    $293,548    419x      8x
12.5%    $291,200    415x      7x
12.6%    $288,889    412x      7x
12.7%    $286,614    409x      7x
12.8%    $284,375    406x      7x
12.9%    $282,171    403x      7x
13.0%    $280,000    399x      7x
13.1%    $277,863    396x      7x
13.2%    $275,758    393x      7x
13.3%    $273,684    390x      7x
13.4%    $271,642    388x      7x
13.5%    $269,630    385x      7x
13.6%    $267,647    382x      7x
13.6%    $265,693    379x      7x
13.8%    $263,768    376x      7x
13.9%    $261,871    374x      7x
14.0%    $260,000    371x      7x
14.0%    $258,156    368x      7x
14.2%    $256,338    366x      7x
14.3%    $254,545    363x      6x
14.4%    $252,778    361x      6x
14.4%    $251,034    358x      6x
14.6%    $249,315    356x      6x
14.7%    $247,619    353x      6x
14.8%    $245,946    351x      6x
14.9%    $244,295    348x      6x
15.0%    $242,667    346x      6x
15.1%    $241,060    344x      6x
15.2%    $239,474    342x      6x
15.3%    $237,908    339x      6x
15.4%    $236,364    337x      6x
15.5%    $234,839    335x      6x
15.6%    $233,333    333x      6x
15.7%    $231,847    331x      6x
15.8%    $230,380    329x      6x
15.9%    $228,931    327x      6x
16.0%    $227,500    324x      6x
16.1%    $226,087    322x      6x
16.2%    $224,691    320x      6x
16.3%    $223,313    319x      6x
16.4%    $221,951    317x      6x
16.5%    $220,606    315x      6x
16.6%    $219,277    313x      6x
16.7%    $217,964    311x      5x
16.8%    $216,667    309x      5x
16.9%    $215,385    307x      5x
17.0%    $214,118    305x      5x
17.1%    $212,865    304x      5x
17.2%    $211,628    302x      5x
17.3%    $210,405    300x      5x
17.4%    $209,195    298x      5x
17.5%    $208,000    297x      5x
17.6%    $206,818    295x      5x
17.7%    $205,650    293x      5x
17.8%    $204,494    292x      5x
17.9%    $203,352    290x      5x
18.0%    $202,222    288x      5x
18.1%    $201,105    287x      5x
18.2%    $200,000    285x      5x
18.3%    $198,907    284x      5x
18.4%    $197,826    282x      5x
18.5%    $196,757    281x      5x
18.6%    $195,699    279x      5x
18.7%    $194,652    278x      5x
18.9%    $192,593    275x      5x
19.0%    $191,579    273x      5x
19.1%    $190,576    272x      5x
19.2%    $189,583    270x      5x
19.3%    $188,601    269x      5x
19.4%    $187,629    268x      5x
19.5%    $186,667    266x      5x
19.6%    $185,714    265x      5x
19.7%    $184,772    263x      5x
19.8%    $183,838    262x      5x
19.9%    $182,915    261x      5x
20.0%    $182,000    259x      4x
