Rate   Price       Weekly x  Annual x
~~~~   ~~~~~       ~~~~~~~~  ~~~~~~~~

 0.0%  $9,100,000  13000x    250x
 0.1%  $8,048,110  11497x    221x
 0.2%  $7,155,629  10222x    196x
 0.3%  $6,395,514   9136x    175x
 0.4%  $5,745,613   8208x    157x
 0.5%  $5,187,739   7411x    142x
 0.6%  $4,706,930   6724x    129x
 0.7%  $4,290,850   6129x    117x
 0.7%  $4,290,850   6129x    117x
 0.9%  $3,613,851   5162x     99x
 0.9%  $3,613,851   5162x     99x
 1.0%  $3,337,477   4767x     91x
 1.2%  $2,879,592   4113x     79x
 1.3%  $2,689,134   3841x     73x
 1.4%  $2,519,558   3599x     69x
 1.5%  $2,367,985   3382x     65x
 1.6%  $2,231,991   3188x     61x
 1.7%  $2,109,524   3013x     57x
 1.8%  $1,998,840   2855x     54x
 1.9%  $1,898,459   2712x     52x
 2.0%  $1,807,117   2581x     49x
 2.1%  $1,723,729   2462x     47x
 2.2%  $1,647,368   2353x     45x
 2.3%  $1,577,233   2253x     43x
 2.4%  $1,512,631   2160x     41x
 2.5%  $1,452,965   2075x     39x
 2.6%  $1,397,713   1996x     38x
 2.7%  $1,346,422   1923x     36x
 2.8%  $1,298,695   1855x     35x
 2.9%  $1,254,184   1791x     34x
 3.0%  $1,212,584   1732x     33x
 3.1%  $1,173,625   1676x     32x
 3.2%  $1,137,067   1624x     31x
 3.3%  $1,102,701   1575x     30x
 3.4%  $1,070,337   1529x     29x
 3.5%  $1,039,809   1485x     28x
 3.6%  $1,010,965   1444x     27x
 3.7%    $983,672   1405x     27x
 3.8%    $957,809   1368x     26x
 3.9%    $933,268   1333x     25x
 4.0%    $909,950   1299x     24x
 4.1%    $887,766   1268x     24x
 4.2%    $866,637   1238x     23x
 4.3%    $846,489   1209x     23x
 4.4%    $827,255   1181x     22x
 4.5%    $808,875   1155x     22x
 4.6%    $791,294   1130x     21x
 4.6%    $791,294   1130x     21x
 4.7%    $774,460   1106x     21x
 4.8%    $758,327   1083x     20x
 4.9%    $742,852   1061x     20x
 5.0%    $727,996   1039x     19x
 5.1%    $713,723   1019x     19x
 5.2%    $699,998    999x     19x
 5.3%    $686,791    981x     18x
 5.4%    $674,073    962x     18x
 5.5%    $661,817    945x     18x
 5.6%    $649,999    928x     17x
 5.7%    $638,596    912x     17x
 5.8%    $627,586    896x     17x
 5.9%    $616,949    881x     16x
 6.0%    $606,666    866x     16x
 6.1%    $596,721    852x     16x
 6.2%    $587,097    838x     16x
 6.3%    $577,778    825x     15x
 6.4%    $568,750    812x     15x
 6.5%    $560,000    799x     15x
 6.6%    $551,515    787x     15x
 6.7%    $543,284    776x     14x
 6.8%    $535,294    764x     14x
 6.9%    $527,536    753x     14x
 7.0%    $520,000    742x     14x
 7.1%    $512,676    732x     14x
 7.2%    $505,556    722x     13x
 7.3%    $498,630    712x     13x
 7.4%    $491,892    702x     13x
 7.5%    $485,333    693x     13x
 7.6%    $478,947    684x     13x
 7.7%    $472,727    675x     12x
 7.8%    $466,667    666x     12x
 7.9%    $460,759    658x     12x
 8.0%    $455,000    649x     12x
 8.1%    $449,383    641x     12x
 8.2%    $443,902    634x     12x
