Rate   Price       Weekly x  Annual x
18.3%    $127,869    284x      5x
18.4%    $127,174    282x      5x
18.5%    $126,486    281x      5x
18.6%    $125,806    279x      5x
18.7%    $125,134    278x      5x
18.9%    $123,810    275x      5x
19.0%    $123,158    273x      5x
19.1%    $122,513    272x      5x
19.2%    $121,875    270x      5x
19.3%    $121,244    269x      5x
19.4%    $120,619    268x      5x
19.5%    $120,000    266x      5x
19.6%    $119,388    265x      5x
19.7%    $118,782    263x      5x
19.8%    $118,182    262x      5x
19.9%    $117,588    261x      5x
20.0%    $117,000    260x      5x
