Rate   Price       Weekly x  Annual x
 8.2%    $570,732    634x     12x
 8.3%    $563,855    626x     12x
 8.4%    $557,143    619x     11x
 8.5%    $550,588    611x     11x
 8.6%    $544,186    604x     11x
 8.7%    $537,931    597x     11x
 8.8%    $531,818    590x     11x
 8.9%    $525,843    584x     11x
 9.0%    $520,000    577x     11x
 9.1%    $514,286    571x     10x
 9.2%    $508,696    565x     10x
 9.3%    $503,226    559x     10x
 9.4%    $497,872    553x     10x
 9.5%    $492,632    547x     10x
 9.6%    $487,500    541x     10x
 9.7%    $482,474    536x     10x
 9.8%    $477,551    530x     10x
 9.9%    $472,727    525x     10x
10.0%    $468,000    519x      9x
10.1%    $463,366    514x      9x
10.2%    $458,824    509x      9x
10.3%    $454,369    504x      9x
10.4%    $450,000    499x      9x
10.5%    $445,714    495x      9x
10.6%    $441,509    490x      9x
10.7%    $437,383    485x      9x
10.8%    $433,333    481x      9x
10.9%    $429,358    477x      9x
11.0%    $425,455    472x      9x
11.1%    $421,622    468x      9x
11.2%    $417,857    464x      8x
11.3%    $414,159    460x      8x
11.4%    $410,526    456x      8x
11.5%    $406,957    452x      8x
11.6%    $403,448    448x      8x
11.7%    $400,000    444x      8x
11.8%    $396,610    440x      8x
11.9%    $393,277    436x      8x
12.0%    $390,000    433x      8x
12.1%    $386,777    429x      8x
12.2%    $383,607    426x      8x
12.3%    $380,488    422x      8x
12.4%    $377,419    419x      8x
12.5%    $374,400    415x      7x
12.6%    $371,429    412x      7x
12.7%    $368,504    409x      7x
12.8%    $365,625    406x      7x
12.9%    $362,791    403x      7x
13.0%    $360,000    399x      7x
13.1%    $357,252    396x      7x
13.2%    $354,545    393x      7x
13.3%    $351,880    390x      7x
13.4%    $349,254    388x      7x
13.5%    $346,667    385x      7x
13.6%    $344,118    382x      7x
13.6%    $341,606    379x      7x
13.8%    $339,130    376x      7x
13.9%    $336,691    374x      7x
14.0%    $334,286    371x      7x
14.0%    $331,915    368x      7x
14.2%    $329,577    366x      7x
14.3%    $327,273    363x      6x
14.4%    $325,000    361x      6x
14.4%    $322,759    358x      6x
14.6%    $320,548    356x      6x
14.7%    $318,367    353x      6x
14.8%    $316,216    351x      6x
14.9%    $314,094    348x      6x
15.0%    $312,000    346x      6x
15.1%    $309,934    344x      6x
15.2%    $307,895    342x      6x
15.3%    $305,882    339x      6x
15.4%    $303,896    337x      6x
15.5%    $301,935    335x      6x
15.6%    $300,000    333x      6x
15.7%    $298,089    331x      6x
15.8%    $296,203    329x      6x
15.9%    $294,340    327x      6x
16.0%    $292,500    324x      6x
16.1%    $290,683    322x      6x
16.2%    $288,889    320x      6x
16.3%    $287,117    319x      6x
16.4%    $285,366    317x      6x
16.5%    $283,636    315x      6x
16.6%    $281,928    313x      6x
16.7%    $280,240    311x      5x
16.8%    $278,571    309x      5x
16.9%    $276,923    307x      5x
17.0%    $275,294    305x      5x
17.1%    $273,684    304x      5x
17.2%    $272,093    302x      5x
17.3%    $270,520    300x      5x
17.4%    $268,966    298x      5x
17.5%    $267,429    297x      5x
17.6%    $265,909    295x      5x
17.7%    $264,407    293x      5x
17.8%    $262,921    292x      5x
17.9%    $261,453    290x      5x
18.0%    $260,000    288x      5x
18.1%    $258,564    287x      5x
18.2%    $257,143    285x      5x
18.3%    $255,738    284x      5x
18.4%    $254,348    282x      5x
18.5%    $252,973    281x      5x
18.6%    $251,613    279x      5x
18.7%    $250,267    278x      5x
18.9%    $247,619    275x      5x
19.0%    $246,316    273x      5x
19.1%    $245,026    272x      5x
19.2%    $243,750    270x      5x
19.3%    $242,487    269x      5x
19.4%    $241,237    268x      5x
19.5%    $240,000    266x      5x
19.6%    $238,776    265x      5x
19.7%    $237,563    263x      5x
19.8%    $236,364    262x      5x
19.9%    $235,176    261x      5x
20.0%    $234,000    260x      5x
