Rate   Price       Weekly x  Annual x
~~~~   ~~~~~       ~~~~~~~~  ~~~~~~~~

 0.0%  $11,700,000  13000x    250x
 0.1%  $10,347,570  11497x    221x
 0.2%  $9,200,094  10222x    196x
 0.3%  $8,222,804   9136x    175x
 0.4%  $7,387,216   8208x    157x
 0.5%  $6,669,950   7411x    142x
 0.6%  $6,051,767   6724x    129x
 0.7%  $5,516,807   6129x    117x
 0.7%  $5,516,807   6129x    117x
 0.9%  $4,646,380   5162x     99x
 0.9%  $4,646,380   5162x     99x
 1.0%  $4,291,042   4767x     91x
 1.2%  $3,702,332   4113x     79x
 1.3%  $3,457,459   3841x     73x
 1.4%  $3,239,431   3599x     69x
 1.5%  $3,044,553   3382x     65x
 1.6%  $2,869,703   3188x     61x
 1.7%  $2,712,245   3013x     57x
 1.8%  $2,569,937   2855x     54x
 1.9%  $2,440,876   2712x     52x
 2.0%  $2,323,436   2581x     49x
 2.1%  $2,216,224   2462x     47x
 2.2%  $2,118,045   2353x     45x
 2.3%  $2,027,871   2253x     43x
 2.4%  $1,944,811   2160x     41x
 2.5%  $1,868,098   2075x     39x
 2.6%  $1,797,059   1996x     38x
 2.7%  $1,731,114   1923x     36x
 2.8%  $1,669,751   1855x     35x
 2.9%  $1,612,523   1791x     34x
 3.0%  $1,559,037   1732x     33x
 3.1%  $1,508,946   1676x     32x
 3.2%  $1,461,944   1624x     31x
 3.3%  $1,417,759   1575x     30x
 3.4%  $1,376,148   1529x     29x
 3.5%  $1,336,897   1485x     28x
 3.6%  $1,299,812   1444x     27x
 3.7%  $1,264,721   1405x     27x
 3.8%  $1,231,469   1368x     26x
 3.9%  $1,199,916   1333x     25x
 4.0%  $1,169,935   1299x     24x
 4.1%  $1,141,414   1268x     24x
 4.2%  $1,114,248   1238x     23x
 4.3%  $1,088,343   1209x     23x
 4.4%  $1,063,614   1181x     22x
 4.5%  $1,039,983   1155x     22x
 4.6%  $1,017,378   1130x     21x
 4.6%  $1,017,378   1130x     21x
 4.7%    $995,734   1106x     21x
 4.8%    $974,992   1083x     20x
 4.9%    $955,096   1061x     20x
 5.0%    $935,995   1039x     19x
 5.1%    $917,643   1019x     19x
 5.2%    $899,997    999x     19x
 5.3%    $883,017    981x     18x
 5.4%    $866,665    962x     18x
 5.5%    $850,908    945x     18x
 5.6%    $835,713    928x     17x
 5.7%    $821,052    912x     17x
 5.8%    $806,896    896x     17x
 5.9%    $793,220    881x     16x
 6.0%    $780,000    866x     16x
 6.1%    $767,213    852x     16x
 6.2%    $754,838    838x     16x
 6.3%    $742,857    825x     15x
 6.4%    $731,250    812x     15x
 6.5%    $720,000    799x     15x
 6.6%    $709,091    787x     15x
 6.7%    $698,507    776x     14x
 6.8%    $688,235    764x     14x
 6.9%    $678,261    753x     14x
 7.0%    $668,571    742x     14x
 7.1%    $659,155    732x     14x
 7.2%    $650,000    722x     13x
 7.3%    $641,096    712x     13x
 7.4%    $632,432    702x     13x
 7.5%    $624,000    693x     13x
 7.6%    $615,789    684x     13x
 7.7%    $607,792    675x     12x
 7.8%    $600,000    666x     12x
 7.9%    $592,405    658x     12x
 8.0%    $585,000    649x     12x
 8.1%    $577,778    641x     12x
