Rate   Price       Weekly x  Annual x
~~~~   ~~~~~       ~~~~~~~~  ~~~~~~~~

 0.0%  $5,200,000  13000x    250x
 0.1%  $4,598,920  11497x    221x
 0.2%  $4,088,931  10222x    196x
 0.3%  $3,654,579   9136x    175x
 0.4%  $3,283,207   8208x    157x
 0.5%  $2,964,422   7411x    142x
 0.6%  $2,689,674   6724x    129x
 0.7%  $2,451,914   6129x    117x
 0.7%  $2,451,914   6129x    117x
 0.9%  $2,065,058   5162x     99x
 0.9%  $2,065,058   5162x     99x
 1.0%  $1,907,130   4767x     91x
 1.2%  $1,645,481   4113x     79x
 1.3%  $1,536,648   3841x     73x
 1.4%  $1,439,747   3599x     69x
 1.5%  $1,353,135   3382x     65x
 1.6%  $1,275,424   3188x     61x
 1.7%  $1,205,442   3013x     57x
 1.8%  $1,142,194   2855x     54x
 1.9%  $1,084,834   2712x     52x
 2.0%  $1,032,638   2581x     49x
 2.1%    $984,988   2462x     47x
 2.2%    $941,353   2353x     45x
 2.3%    $901,276   2253x     43x
 2.4%    $864,361   2160x     41x
 2.5%    $830,266   2075x     39x
 2.6%    $798,693   1996x     38x
 2.7%    $769,384   1923x     36x
 2.8%    $742,111   1855x     35x
 2.9%    $716,677   1791x     34x
 3.0%    $692,905   1732x     33x
 3.1%    $670,643   1676x     32x
 3.2%    $649,753   1624x     31x
 3.3%    $630,115   1575x     30x
 3.4%    $611,621   1529x     29x
 3.5%    $594,176   1485x     28x
 3.6%    $577,694   1444x     27x
 3.7%    $562,098   1405x     27x
 3.8%    $547,320   1368x     26x
 3.9%    $533,296   1333x     25x
 4.0%    $519,971   1299x     24x
 4.1%    $507,295   1268x     24x
 4.2%    $495,221   1238x     23x
 4.3%    $483,708   1209x     23x
 4.4%    $472,717   1181x     22x
 4.5%    $462,215   1155x     22x
 4.6%    $452,168   1130x     21x
 4.6%    $452,168   1130x     21x
 4.7%    $442,549   1106x     21x
 4.8%    $433,330   1083x     20x
 4.9%    $424,487   1061x     20x
 5.0%    $415,998   1039x     19x
 5.1%    $407,842   1019x     19x
 5.2%    $399,999    999x     19x
 5.3%    $392,452    981x     18x
 5.4%    $385,184    962x     18x
 5.5%    $378,181    945x     18x
 5.6%    $371,428    928x     17x
 5.7%    $364,912    912x     17x
 5.8%    $358,620    896x     17x
 5.9%    $352,542    881x     16x
 6.0%    $346,667    866x     16x
 6.1%    $340,983    852x     16x
 6.2%    $335,484    838x     16x
 6.3%    $330,159    825x     15x
 6.4%    $325,000    812x     15x
 6.5%    $320,000    799x     15x
 6.6%    $315,151    787x     15x
 6.7%    $310,448    776x     14x
 6.8%    $305,882    764x     14x
 6.9%    $301,449    753x     14x
 7.0%    $297,143    742x     14x
 7.1%    $292,958    732x     14x
 7.2%    $288,889    722x     13x
 7.3%    $284,932    712x     13x
 7.4%    $281,081    702x     13x
 7.5%    $277,333    693x     13x
 7.6%    $273,684    684x     13x
 7.7%    $270,130    675x     12x
 7.8%    $266,667    666x     12x
 7.9%    $263,291    658x     12x
 8.0%    $260,000    649x     12x
 8.1%    $256,790    641x     12x
 8.2%    $253,659    634x     12x
 8.3%    $250,602    626x     12x
 8.4%    $247,619    619x     11x
