Rate   Price       Weekly x  Annual x
 8.5%    $244,706    611x     11x
 8.6%    $241,860    604x     11x
 8.7%    $239,080    597x     11x
 8.8%    $236,364    590x     11x
 8.9%    $233,708    584x     11x
 9.0%    $231,111    577x     11x
 9.1%    $228,571    571x     10x
 9.2%    $226,087    565x     10x
 9.3%    $223,656    559x     10x
 9.4%    $221,277    553x     10x
 9.5%    $218,947    547x     10x
 9.6%    $216,667    541x     10x
 9.7%    $214,433    536x     10x
 9.8%    $212,245    530x     10x
 9.9%    $210,101    525x     10x
10.0%    $208,000    519x      9x
10.1%    $205,941    514x      9x
10.2%    $203,922    509x      9x
10.3%    $201,942    504x      9x
10.4%    $200,000    499x      9x
10.5%    $198,095    495x      9x
10.6%    $196,226    490x      9x
10.7%    $194,393    485x      9x
10.8%    $192,593    481x      9x
10.9%    $190,826    477x      9x
11.0%    $189,091    472x      9x
11.1%    $187,387    468x      9x
11.2%    $185,714    464x      8x
11.3%    $184,071    460x      8x
11.4%    $182,456    456x      8x
11.5%    $180,870    452x      8x
11.6%    $179,310    448x      8x
11.7%    $177,778    444x      8x
11.8%    $176,271    440x      8x
11.9%    $174,790    436x      8x
12.0%    $173,333    433x      8x
12.1%    $171,901    429x      8x
12.2%    $170,492    426x      8x
12.3%    $169,106    422x      8x
12.4%    $167,742    419x      8x
12.5%    $166,400    415x      7x
12.6%    $165,079    412x      7x
12.7%    $163,780    409x      7x
12.8%    $162,500    406x      7x
12.9%    $161,240    403x      7x
13.0%    $160,000    399x      7x
13.1%    $158,779    396x      7x
13.2%    $157,576    393x      7x
13.3%    $156,391    390x      7x
13.4%    $155,224    388x      7x
13.5%    $154,074    385x      7x
13.6%    $152,941    382x      7x
13.6%    $151,825    379x      7x
13.8%    $150,725    376x      7x
13.9%    $149,640    374x      7x
14.0%    $148,571    371x      7x
14.0%    $147,518    368x      7x
14.2%    $146,479    366x      7x
14.3%    $145,455    363x      6x
14.4%    $144,444    361x      6x
14.4%    $143,448    358x      6x
14.6%    $142,466    356x      6x
14.7%    $141,497    353x      6x
14.8%    $140,541    351x      6x
14.9%    $139,597    348x      6x
15.0%    $138,667    346x      6x
15.1%    $137,748    344x      6x
15.2%    $136,842    342x      6x
15.3%    $135,948    339x      6x
15.4%    $135,065    337x      6x
15.5%    $134,194    335x      6x
15.6%    $133,333    333x      6x
15.7%    $132,484    331x      6x
15.8%    $131,646    329x      6x
15.9%    $130,818    327x      6x
16.0%    $130,000    324x      6x
16.1%    $129,193    322x      6x
16.2%    $128,395    320x      6x
16.3%    $127,607    319x      6x
16.4%    $126,829    317x      6x
16.5%    $126,061    315x      6x
16.6%    $125,301    313x      6x
16.7%    $124,551    311x      5x
16.8%    $123,810    309x      5x
16.9%    $123,077    307x      5x
17.0%    $122,353    305x      5x
17.1%    $121,637    304x      5x
17.2%    $120,930    302x      5x
17.3%    $120,231    300x      5x
17.4%    $119,540    298x      5x
17.5%    $118,857    297x      5x
17.6%    $118,182    295x      5x
17.7%    $117,514    293x      5x
17.8%    $116,854    292x      5x
17.9%    $116,201    290x      5x
18.0%    $115,556    288x      5x
18.1%    $114,917    287x      5x
18.2%    $114,286    285x      5x
18.3%    $113,661    284x      5x
18.4%    $113,043    282x      5x
18.5%    $112,432    281x      5x
18.6%    $111,828    279x      5x
18.7%    $111,230    278x      5x
18.9%    $110,053    275x      5x
19.0%    $109,474    273x      5x
19.1%    $108,901    272x      5x
19.2%    $108,333    270x      5x
19.3%    $107,772    269x      5x
19.4%    $107,216    268x      5x
19.5%    $106,667    266x      5x
19.6%    $106,122    265x      5x
19.7%    $105,584    263x      5x
19.8%    $105,051    262x      5x
19.9%    $104,523    261x      5x
20.0%    $104,000    260x      5x
