Rate   Price       Weekly x  Annual x
~~~~   ~~~~~       ~~~~~~~~  ~~~~~~~~

 0.0%  $3,250,000  13000x    250x
 0.1%  $2,874,325  11497x    221x
 0.2%  $2,555,582  10222x    196x
 0.3%  $2,284,112   9136x    175x
 0.4%  $2,052,005   8208x    157x
 0.5%  $1,852,764   7411x    142x
 0.6%  $1,681,046   6724x    129x
 0.7%  $1,532,446   6129x    117x
 0.7%  $1,532,446   6129x    117x
 0.9%  $1,290,661   5162x     99x
 0.9%  $1,290,661   5162x     99x
 1.0%  $1,191,956   4767x     91x
 1.2%  $1,028,426   4113x     79x
 1.3%    $960,405   3841x     73x
 1.4%    $899,842   3599x     69x
 1.5%    $845,709   3382x     65x
 1.6%    $797,140   3188x     61x
 1.7%    $753,401   3013x     57x
 1.8%    $713,871   2855x     54x
 1.9%    $678,021   2712x     52x
 2.0%    $645,399   2581x     49x
 2.1%    $615,618   2462x     47x
 2.2%    $588,346   2353x     45x
 2.3%    $563,297   2253x     43x
 2.4%    $540,225   2160x     41x
 2.5%    $518,916   2075x     39x
 2.6%    $499,183   1996x     38x
 2.7%    $480,865   1923x     36x
 2.8%    $463,820   1855x     35x
 2.9%    $447,923   1791x     34x
 3.0%    $433,066   1732x     33x
 3.1%    $419,152   1676x     32x
 3.2%    $406,096   1624x     31x
 3.3%    $393,822   1575x     30x
 3.4%    $382,263   1529x     29x
 3.5%    $371,360   1485x     28x
 3.6%    $361,059   1444x     27x
 3.7%    $351,311   1405x     27x
 3.8%    $342,075   1368x     26x
 3.9%    $333,310   1333x     25x
 4.0%    $324,982   1299x     24x
 4.1%    $317,059   1268x     24x
 4.2%    $309,513   1238x     23x
 4.3%    $302,317   1209x     23x
 4.4%    $295,448   1181x     22x
 4.5%    $288,884   1155x     22x
 4.6%    $282,605   1130x     21x
 4.6%    $282,605   1130x     21x
 4.7%    $276,593   1106x     21x
 4.8%    $270,831   1083x     20x
 4.9%    $265,304   1061x     20x
 5.0%    $259,999   1039x     19x
 5.1%    $254,901   1019x     19x
 5.2%    $249,999    999x     19x
 5.3%    $245,282    981x     18x
 5.4%    $240,740    962x     18x
 5.5%    $236,363    945x     18x
 5.6%    $232,143    928x     17x
 5.7%    $228,070    912x     17x
 5.8%    $224,138    896x     17x
 5.9%    $220,339    881x     16x
 6.0%    $216,667    866x     16x
 6.1%    $213,115    852x     16x
 6.2%    $209,677    838x     16x
 6.3%    $206,349    825x     15x
 6.4%    $203,125    812x     15x
 6.5%    $200,000    799x     15x
 6.6%    $196,970    787x     15x
 6.7%    $194,030    776x     14x
 6.8%    $191,176    764x     14x
 6.9%    $188,406    753x     14x
 7.0%    $185,714    742x     14x
 7.1%    $183,099    732x     14x
 7.2%    $180,556    722x     13x
 7.3%    $178,082    712x     13x
 7.4%    $175,676    702x     13x
 7.5%    $173,333    693x     13x
 7.6%    $171,053    684x     13x
 7.7%    $168,831    675x     12x
 7.8%    $166,667    666x     12x
 7.9%    $164,557    658x     12x
 8.0%    $162,500    649x     12x
 8.1%    $160,494    641x     12x
 8.2%    $158,537    634x     12x
 8.3%    $156,627    626x     12x
 8.4%    $154,762    619x     11x
 8.5%    $152,941    611x     11x
