Rate   Price       Weekly x  Annual x
 8.6%    $151,163    604x     11x
 8.7%    $149,425    597x     11x
 8.8%    $147,727    590x     11x
 8.9%    $146,067    584x     11x
 9.0%    $144,444    577x     11x
 9.1%    $142,857    571x     10x
 9.2%    $141,304    565x     10x
 9.3%    $139,785    559x     10x
 9.4%    $138,298    553x     10x
 9.5%    $136,842    547x     10x
 9.6%    $135,417    541x     10x
 9.7%    $134,021    536x     10x
 9.8%    $132,653    530x     10x
 9.9%    $131,313    525x     10x
10.0%    $130,000    519x      9x
10.1%    $128,713    514x      9x
10.2%    $127,451    509x      9x
10.3%    $126,214    504x      9x
10.4%    $125,000    499x      9x
10.5%    $123,810    495x      9x
10.6%    $122,642    490x      9x
10.7%    $121,495    485x      9x
10.8%    $120,370    481x      9x
10.9%    $119,266    477x      9x
11.0%    $118,182    472x      9x
11.1%    $117,117    468x      9x
11.2%    $116,071    464x      8x
11.3%    $115,044    460x      8x
11.4%    $114,035    456x      8x
11.5%    $113,043    452x      8x
11.6%    $112,069    448x      8x
11.7%    $111,111    444x      8x
11.8%    $110,169    440x      8x
11.9%    $109,244    436x      8x
12.0%    $108,333    433x      8x
12.1%    $107,438    429x      8x
12.2%    $106,557    426x      8x
12.3%    $105,691    422x      8x
12.4%    $104,839    419x      8x
12.5%    $104,000    415x      7x
12.6%    $103,175    412x      7x
12.7%    $102,362    409x      7x
12.8%    $101,562    406x      7x
12.9%    $100,775    403x      7x
13.0%    $100,000    399x      7x
13.1%     $99,237    396x      7x
13.2%     $98,485    393x      7x
13.3%     $97,744    390x      7x
13.4%     $97,015    388x      7x
13.5%     $96,296    385x      7x
13.6%     $95,588    382x      7x
13.6%     $94,891    379x      7x
13.8%     $94,203    376x      7x
13.9%     $93,525    374x      7x
14.0%     $92,857    371x      7x
14.0%     $92,199    368x      7x
14.2%     $91,549    366x      7x
14.3%     $90,909    363x      6x
14.4%     $90,278    361x      6x
14.4%     $89,655    358x      6x
14.6%     $89,041    356x      6x
14.7%     $88,435    353x      6x
14.8%     $87,838    351x      6x
14.9%     $87,248    348x      6x
15.0%     $86,667    346x      6x
15.1%     $86,093    344x      6x
15.2%     $85,526    342x      6x
15.3%     $84,967    339x      6x
15.4%     $84,416    337x      6x
15.5%     $83,871    335x      6x
15.6%     $83,333    333x      6x
15.7%     $82,803    331x      6x
15.8%     $82,278    329x      6x
15.9%     $81,761    327x      6x
16.0%     $81,250    325x      6x
16.1%     $80,745    322x      6x
16.2%     $80,247    320x      6x
16.3%     $79,755    319x      6x
16.4%     $79,268    317x      6x
16.5%     $78,788    315x      6x
16.6%     $78,313    313x      6x
16.7%     $77,844    311x      5x
16.8%     $77,381    309x      5x
16.9%     $76,923    307x      5x
17.0%     $76,471    305x      5x
17.1%     $76,023    304x      5x
17.2%     $75,581    302x      5x
17.3%     $75,145    300x      5x
17.4%     $74,713    298x      5x
17.5%     $74,286    297x      5x
17.6%     $73,864    295x      5x
17.7%     $73,446    293x      5x
17.8%     $73,034    292x      5x
17.9%     $72,626    290x      5x
18.0%     $72,222    288x      5x
18.1%     $71,823    287x      5x
18.2%     $71,429    285x      5x
18.3%     $71,038    284x      5x
18.4%     $70,652    282x      5x
18.5%     $70,270    281x      5x
18.6%     $69,892    279x      5x
18.7%     $69,519    278x      5x
18.9%     $68,783    275x      5x
19.0%     $68,421    273x      5x
19.1%     $68,063    272x      5x
19.2%     $67,708    270x      5x
19.3%     $67,358    269x      5x
19.4%     $67,010    268x      5x
19.5%     $66,667    266x      5x
19.6%     $66,327    265x      5x
19.7%     $65,990    263x      5x
19.8%     $65,657    262x      5x
19.9%     $65,327    261x      5x
20.0%     $65,000    260x      5x
