Rate   Price       Weekly x  Annual x
 8.6%    $120,930    604x     11x
 8.7%    $119,540    597x     11x
 8.8%    $118,182    590x     11x
 8.9%    $116,854    584x     11x
 9.0%    $115,556    577x     11x
 9.1%    $114,286    571x     10x
 9.2%    $113,043    565x     10x
 9.3%    $111,828    559x     10x
 9.4%    $110,638    553x     10x
 9.5%    $109,474    547x     10x
 9.6%    $108,333    541x     10x
 9.7%    $107,216    536x     10x
 9.8%    $106,122    530x     10x
 9.9%    $105,051    525x     10x
10.0%    $104,000    519x      9x
10.1%    $102,970    514x      9x
10.2%    $101,961    509x      9x
10.3%    $100,971    504x      9x
10.4%    $100,000    499x      9x
10.5%     $99,048    495x      9x
10.6%     $98,113    490x      9x
10.7%     $97,196    485x      9x
10.8%     $96,296    481x      9x
10.9%     $95,413    477x      9x
11.0%     $94,545    472x      9x
11.1%     $93,694    468x      9x
11.2%     $92,857    464x      8x
11.3%     $92,035    460x      8x
11.4%     $91,228    456x      8x
11.5%     $90,435    452x      8x
11.6%     $89,655    448x      8x
11.7%     $88,889    444x      8x
11.8%     $88,136    440x      8x
11.9%     $87,395    436x      8x
12.0%     $86,667    433x      8x
12.1%     $85,950    429x      8x
12.2%     $85,246    426x      8x
12.3%     $84,553    422x      8x
12.4%     $83,871    419x      8x
12.5%     $83,200    415x      7x
12.6%     $82,540    412x      7x
12.7%     $81,890    409x      7x
12.8%     $81,250    406x      7x
12.9%     $80,620    403x      7x
13.0%     $80,000    399x      7x
13.1%     $79,389    396x      7x
13.2%     $78,788    393x      7x
13.3%     $78,195    390x      7x
13.4%     $77,612    388x      7x
13.5%     $77,037    385x      7x
13.6%     $76,471    382x      7x
13.6%     $75,912    379x      7x
13.8%     $75,362    376x      7x
13.9%     $74,820    374x      7x
14.0%     $74,286    371x      7x
14.0%     $73,759    368x      7x
14.2%     $73,239    366x      7x
14.3%     $72,727    363x      6x
14.4%     $72,222    361x      6x
14.4%     $71,724    358x      6x
14.6%     $71,233    356x      6x
14.7%     $70,748    353x      6x
14.8%     $70,270    351x      6x
14.9%     $69,799    348x      6x
15.0%     $69,333    346x      6x
15.1%     $68,874    344x      6x
15.2%     $68,421    342x      6x
15.3%     $67,974    339x      6x
15.4%     $67,532    337x      6x
15.5%     $67,097    335x      6x
15.6%     $66,667    333x      6x
15.7%     $66,242    331x      6x
15.8%     $65,823    329x      6x
15.9%     $65,409    327x      6x
16.0%     $65,000    324x      6x
16.1%     $64,596    322x      6x
16.2%     $64,198    320x      6x
16.3%     $63,804    319x      6x
16.4%     $63,415    317x      6x
16.5%     $63,030    315x      6x
16.6%     $62,651    313x      6x
16.7%     $62,275    311x      5x
16.8%     $61,905    309x      5x
16.9%     $61,538    307x      5x
17.0%     $61,176    305x      5x
17.1%     $60,819    304x      5x
17.2%     $60,465    302x      5x
17.3%     $60,116    300x      5x
17.4%     $59,770    298x      5x
17.5%     $59,429    297x      5x
17.6%     $59,091    295x      5x
17.7%     $58,757    293x      5x
17.8%     $58,427    292x      5x
17.9%     $58,101    290x      5x
18.0%     $57,778    288x      5x
18.1%     $57,459    287x      5x
18.2%     $57,143    285x      5x
18.3%     $56,831    284x      5x
18.4%     $56,522    282x      5x
18.5%     $56,216    281x      5x
18.6%     $55,914    279x      5x
18.7%     $55,615    278x      5x
18.9%     $55,026    275x      5x
19.0%     $54,737    273x      5x
19.1%     $54,450    272x      5x
19.2%     $54,167    270x      5x
19.3%     $53,886    269x      5x
19.4%     $53,608    268x      5x
19.5%     $53,333    266x      5x
19.6%     $53,061    265x      5x
19.7%     $52,792    263x      5x
19.8%     $52,525    262x      5x
19.9%     $52,261    261x      5x
20.0%     $52,000    260x      5x
