Rate   Price       Weekly x  Annual x
~~~~   ~~~~~       ~~~~~~~~  ~~~~~~~~

 0.0%  $2,600,000  13000x    250x
 0.1%  $2,299,460  11497x    221x
 0.2%  $2,044,465  10222x    196x
 0.3%  $1,827,290   9136x    175x
 0.4%  $1,641,604   8208x    157x
 0.5%  $1,482,211   7411x    142x
 0.6%  $1,344,837   6724x    129x
 0.7%  $1,225,957   6129x    117x
 0.7%  $1,225,957   6129x    117x
 0.9%  $1,032,529   5162x     99x
 0.9%  $1,032,529   5162x     99x
 1.0%    $953,565   4767x     91x
 1.2%    $822,740   4113x     79x
 1.3%    $768,324   3841x     73x
 1.4%    $719,874   3599x     69x
 1.5%    $676,567   3382x     65x
 1.6%    $637,712   3188x     61x
 1.7%    $602,721   3013x     57x
 1.8%    $571,097   2855x     54x
 1.9%    $542,417   2712x     52x
 2.0%    $516,319   2581x     49x
 2.1%    $492,494   2462x     47x
 2.2%    $470,677   2353x     45x
 2.3%    $450,638   2253x     43x
 2.4%    $432,180   2160x     41x
 2.5%    $415,133   2075x     39x
 2.6%    $399,347   1996x     38x
 2.7%    $384,692   1923x     36x
 2.8%    $371,056   1855x     35x
 2.9%    $358,338   1791x     34x
 3.0%    $346,453   1732x     33x
 3.1%    $335,321   1676x     32x
 3.2%    $324,876   1624x     31x
 3.3%    $315,057   1575x     30x
 3.4%    $305,811   1529x     29x
 3.5%    $297,088   1485x     28x
 3.6%    $288,847   1444x     27x
 3.7%    $281,049   1405x     27x
 3.8%    $273,660   1368x     26x
 3.9%    $266,648   1333x     25x
 4.0%    $259,986   1299x     24x
 4.1%    $253,648   1268x     24x
 4.2%    $247,611   1238x     23x
 4.3%    $241,854   1209x     23x
 4.4%    $236,359   1181x     22x
 4.5%    $231,107   1155x     22x
 4.6%    $226,084   1130x     21x
 4.6%    $226,084   1130x     21x
 4.7%    $221,274   1106x     21x
 4.8%    $216,665   1083x     20x
 4.9%    $212,244   1061x     20x
 5.0%    $207,999   1039x     19x
 5.1%    $203,921   1019x     19x
 5.2%    $199,999    999x     19x
 5.3%    $196,226    981x     18x
 5.4%    $192,592    962x     18x
 5.5%    $189,091    945x     18x
 5.6%    $185,714    928x     17x
 5.7%    $182,456    912x     17x
 5.8%    $179,310    896x     17x
 5.9%    $176,271    881x     16x
 6.0%    $173,333    866x     16x
 6.1%    $170,492    852x     16x
 6.2%    $167,742    838x     16x
 6.3%    $165,079    825x     15x
 6.4%    $162,500    812x     15x
 6.5%    $160,000    799x     15x
 6.6%    $157,576    787x     15x
 6.7%    $155,224    776x     14x
 6.8%    $152,941    764x     14x
 6.9%    $150,725    753x     14x
 7.0%    $148,571    742x     14x
 7.1%    $146,479    732x     14x
 7.2%    $144,444    722x     13x
 7.3%    $142,466    712x     13x
 7.4%    $140,541    702x     13x
 7.5%    $138,667    693x     13x
 7.6%    $136,842    684x     13x
 7.7%    $135,065    675x     12x
 7.8%    $133,333    666x     12x
 7.9%    $131,646    658x     12x
 8.0%    $130,000    649x     12x
 8.1%    $128,395    641x     12x
 8.2%    $126,829    634x     12x
 8.3%    $125,301    626x     12x
 8.4%    $123,810    619x     11x
 8.5%    $122,353    611x     11x
