Rate   Price       Weekly x  Annual x
 8.6%     $90,698    604x     11x
 8.7%     $89,655    597x     11x
 8.8%     $88,636    590x     11x
 8.9%     $87,640    584x     11x
 9.0%     $86,667    577x     11x
 9.1%     $85,714    571x     10x
 9.2%     $84,783    565x     10x
 9.3%     $83,871    559x     10x
 9.4%     $82,979    553x     10x
 9.5%     $82,105    547x     10x
 9.6%     $81,250    541x     10x
 9.7%     $80,412    536x     10x
 9.8%     $79,592    530x     10x
 9.9%     $78,788    525x     10x
10.0%     $78,000    519x      9x
10.1%     $77,228    514x      9x
10.2%     $76,471    509x      9x
10.3%     $75,728    504x      9x
10.4%     $75,000    499x      9x
10.5%     $74,286    495x      9x
10.6%     $73,585    490x      9x
10.7%     $72,897    485x      9x
10.8%     $72,222    481x      9x
10.9%     $71,560    477x      9x
11.0%     $70,909    472x      9x
11.1%     $70,270    468x      9x
11.2%     $69,643    464x      8x
11.3%     $69,027    460x      8x
11.4%     $68,421    456x      8x
11.5%     $67,826    452x      8x
11.6%     $67,241    448x      8x
11.7%     $66,667    444x      8x
11.8%     $66,102    440x      8x
11.9%     $65,546    436x      8x
12.0%     $65,000    433x      8x
12.1%     $64,463    429x      8x
12.2%     $63,934    426x      8x
12.3%     $63,415    422x      8x
12.4%     $62,903    419x      8x
12.5%     $62,400    415x      7x
12.6%     $61,905    412x      7x
12.7%     $61,417    409x      7x
12.8%     $60,937    406x      7x
12.9%     $60,465    403x      7x
13.0%     $60,000    399x      7x
13.1%     $59,542    396x      7x
13.2%     $59,091    393x      7x
13.3%     $58,647    390x      7x
13.4%     $58,209    388x      7x
13.5%     $57,778    385x      7x
13.6%     $57,353    382x      7x
13.6%     $56,934    379x      7x
13.8%     $56,522    376x      7x
13.9%     $56,115    374x      7x
14.0%     $55,714    371x      7x
14.0%     $55,319    368x      7x
14.2%     $54,930    366x      7x
14.3%     $54,545    363x      6x
14.4%     $54,167    361x      6x
14.4%     $53,793    358x      6x
14.6%     $53,425    356x      6x
14.7%     $53,061    353x      6x
14.8%     $52,703    351x      6x
14.9%     $52,349    348x      6x
15.0%     $52,000    346x      6x
15.1%     $51,656    344x      6x
15.2%     $51,316    342x      6x
15.3%     $50,980    339x      6x
15.4%     $50,649    337x      6x
15.5%     $50,323    335x      6x
15.6%     $50,000    333x      6x
15.7%     $49,682    331x      6x
15.8%     $49,367    329x      6x
15.9%     $49,057    327x      6x
16.0%     $48,750    325x      6x
16.1%     $48,447    322x      6x
16.2%     $48,148    320x      6x
16.3%     $47,853    319x      6x
16.4%     $47,561    317x      6x
16.5%     $47,273    315x      6x
16.6%     $46,988    313x      6x
16.7%     $46,707    311x      5x
16.8%     $46,429    309x      5x
16.9%     $46,154    307x      5x
17.0%     $45,882    305x      5x
17.1%     $45,614    304x      5x
17.2%     $45,349    302x      5x
17.3%     $45,087    300x      5x
17.4%     $44,828    298x      5x
17.5%     $44,571    297x      5x
17.6%     $44,318    295x      5x
17.7%     $44,068    293x      5x
17.8%     $43,820    292x      5x
17.9%     $43,575    290x      5x
18.0%     $43,333    288x      5x
18.1%     $43,094    287x      5x
18.2%     $42,857    285x      5x
18.3%     $42,623    284x      5x
18.4%     $42,391    282x      5x
18.5%     $42,162    281x      5x
18.6%     $41,935    279x      5x
18.7%     $41,711    278x      5x
18.9%     $41,270    275x      5x
19.0%     $41,053    273x      5x
19.1%     $40,838    272x      5x
19.2%     $40,625    270x      5x
19.3%     $40,415    269x      5x
19.4%     $40,206    268x      5x
19.5%     $40,000    266x      5x
19.6%     $39,796    265x      5x
19.7%     $39,594    263x      5x
19.8%     $39,394    262x      5x
19.9%     $39,196    261x      5x
20.0%     $39,000    259x      4x
