Rate   Price       Weekly x  Annual x
~~~~   ~~~~~       ~~~~~~~~  ~~~~~~~~

 0.0%  $1,950,000  13000x    250x
 0.1%  $1,724,595  11497x    221x
 0.2%  $1,533,349  10222x    196x
 0.3%  $1,370,467   9136x    175x
 0.4%  $1,231,203   8208x    157x
 0.5%  $1,111,658   7411x    142x
 0.6%  $1,008,628   6724x    129x
 0.7%    $919,468   6129x    117x
 0.7%    $919,468   6129x    117x
 0.9%    $774,397   5162x     99x
 0.9%    $774,397   5162x     99x
 1.0%    $715,174   4767x     91x
 1.2%    $617,055   4113x     79x
 1.3%    $576,243   3841x     73x
 1.4%    $539,905   3599x     69x
 1.5%    $507,425   3382x     65x
 1.6%    $478,284   3188x     61x
 1.7%    $452,041   3013x     57x
 1.8%    $428,323   2855x     54x
 1.9%    $406,813   2712x     52x
 2.0%    $387,239   2581x     49x
 2.1%    $369,371   2462x     47x
 2.2%    $353,007   2353x     45x
 2.3%    $337,978   2253x     43x
 2.4%    $324,135   2160x     41x
 2.5%    $311,350   2075x     39x
 2.6%    $299,510   1996x     38x
 2.7%    $288,519   1923x     36x
 2.8%    $278,292   1855x     35x
 2.9%    $268,754   1791x     34x
 3.0%    $259,839   1732x     33x
 3.1%    $251,491   1676x     32x
 3.2%    $243,657   1624x     31x
 3.3%    $236,293   1575x     30x
 3.4%    $229,358   1529x     29x
 3.5%    $222,816   1485x     28x
 3.6%    $216,635   1444x     27x
 3.7%    $210,787   1405x     27x
 3.8%    $205,245   1368x     26x
 3.9%    $199,986   1333x     25x
 4.0%    $194,989   1299x     24x
 4.1%    $190,236   1268x     24x
 4.2%    $185,708   1238x     23x
 4.3%    $181,390   1209x     23x
 4.4%    $177,269   1181x     22x
 4.5%    $173,330   1155x     22x
 4.6%    $169,563   1130x     21x
 4.6%    $169,563   1130x     21x
 4.7%    $165,956   1106x     21x
 4.8%    $162,499   1083x     20x
 4.9%    $159,183   1061x     20x
 5.0%    $155,999   1039x     19x
 5.1%    $152,941   1019x     19x
 5.2%    $150,000    999x     19x
 5.3%    $147,169    981x     18x
 5.4%    $144,444    962x     18x
 5.5%    $141,818    945x     18x
 5.6%    $139,286    928x     17x
 5.7%    $136,842    912x     17x
 5.8%    $134,483    896x     17x
 5.9%    $132,203    881x     16x
 6.0%    $130,000    866x     16x
 6.1%    $127,869    852x     16x
 6.2%    $125,806    838x     16x
 6.3%    $123,809    825x     15x
 6.4%    $121,875    812x     15x
 6.5%    $120,000    799x     15x
 6.6%    $118,182    787x     15x
 6.7%    $116,418    776x     14x
 6.8%    $114,706    764x     14x
 6.9%    $113,043    753x     14x
 7.0%    $111,429    742x     14x
 7.1%    $109,859    732x     14x
 7.2%    $108,333    722x     13x
 7.3%    $106,849    712x     13x
 7.4%    $105,405    702x     13x
 7.5%    $104,000    693x     13x
 7.6%    $102,632    684x     13x
 7.7%    $101,299    675x     12x
 7.8%    $100,000    666x     12x
 7.9%     $98,734    658x     12x
 8.0%     $97,500    649x     12x
 8.1%     $96,296    641x     12x
 8.2%     $95,122    634x     12x
 8.3%     $93,976    626x     12x
 8.4%     $92,857    619x     11x
 8.5%     $91,765    611x     11x
