Rate   Price       Weekly x  Annual x
~~~~   ~~~~~       ~~~~~~~~  ~~~~~~~~

 0.0%  $1,300,000  13000x    250x
 0.1%  $1,149,730  11497x    221x
 0.2%  $1,022,233  10222x    196x
 0.3%    $913,645   9136x    175x
 0.4%    $820,802   8208x    157x
 0.5%    $741,106   7411x    142x
 0.6%    $672,419   6724x    129x
 0.7%    $612,979   6129x    117x
 0.7%    $612,979   6129x    117x
 0.9%    $516,264   5162x     99x
 0.9%    $516,264   5162x     99x
 1.0%    $476,782   4767x     91x
 1.2%    $411,370   4113x     79x
 1.3%    $384,162   3841x     73x
 1.4%    $359,937   3599x     69x
 1.5%    $338,284   3382x     65x
 1.6%    $318,856   3188x     61x
 1.7%    $301,361   3013x     57x
 1.8%    $285,549   2855x     54x
 1.9%    $271,208   2712x     52x
 2.0%    $258,160   2581x     49x
 2.1%    $246,247   2462x     47x
 2.2%    $235,338   2353x     45x
 2.3%    $225,319   2253x     43x
 2.4%    $216,090   2160x     41x
 2.5%    $207,566   2075x     39x
 2.6%    $199,673   1996x     38x
 2.7%    $192,346   1923x     36x
 2.8%    $185,528   1855x     35x
 2.9%    $179,169   1791x     34x
 3.0%    $173,226   1732x     33x
 3.1%    $167,661   1676x     32x
 3.2%    $162,438   1624x     31x
 3.3%    $157,529   1575x     30x
 3.4%    $152,905   1529x     29x
 3.5%    $148,544   1485x     28x
 3.6%    $144,424   1444x     27x
 3.7%    $140,525   1405x     27x
 3.8%    $136,830   1368x     26x
 3.9%    $133,324   1333x     25x
 4.0%    $129,993   1299x     24x
 4.1%    $126,824   1268x     24x
 4.2%    $123,805   1238x     23x
 4.3%    $120,927   1209x     23x
 4.4%    $118,179   1181x     22x
 4.5%    $115,554   1155x     22x
 4.6%    $113,042   1130x     21x
 4.6%    $113,042   1130x     21x
 4.7%    $110,637   1106x     21x
 4.8%    $108,332   1083x     20x
 4.9%    $106,122   1061x     20x
 5.0%    $103,999   1039x     19x
 5.1%    $101,960   1019x     19x
 5.2%    $100,000    999x     19x
 5.3%     $98,113    981x     18x
 5.4%     $96,296    962x     18x
 5.5%     $94,545    945x     18x
 5.6%     $92,857    928x     17x
 5.7%     $91,228    912x     17x
 5.8%     $89,655    896x     17x
 5.9%     $88,136    881x     16x
 6.0%     $86,667    866x     16x
 6.1%     $85,246    852x     16x
 6.2%     $83,871    838x     16x
 6.3%     $82,540    825x     15x
 6.4%     $81,250    812x     15x
 6.5%     $80,000    799x     15x
 6.6%     $78,788    787x     15x
 6.7%     $77,612    776x     14x
 6.8%     $76,471    764x     14x
 6.9%     $75,362    753x     14x
 7.0%     $74,286    742x     14x
 7.1%     $73,239    732x     14x
 7.2%     $72,222    722x     13x
 7.3%     $71,233    712x     13x
 7.4%     $70,270    702x     13x
 7.5%     $69,333    693x     13x
 7.6%     $68,421    684x     13x
 7.7%     $67,532    675x     12x
 7.8%     $66,667    666x     12x
 7.9%     $65,823    658x     12x
 8.0%     $65,000    649x     12x
 8.1%     $64,198    641x     12x
 8.2%     $63,415    634x     12x
 8.3%     $62,651    626x     12x
 8.4%     $61,905    619x     11x
 8.5%     $61,176    611x     11x
 8.6%     $60,465    604x     11x
