Rate   Price       Weekly x  Annual x
 8.7%     $59,770    597x     11x
 8.8%     $59,091    590x     11x
 8.9%     $58,427    584x     11x
 9.0%     $57,778    577x     11x
 9.1%     $57,143    571x     10x
 9.2%     $56,522    565x     10x
 9.3%     $55,914    559x     10x
 9.4%     $55,319    553x     10x
 9.5%     $54,737    547x     10x
 9.6%     $54,167    541x     10x
 9.7%     $53,608    536x     10x
 9.8%     $53,061    530x     10x
 9.9%     $52,525    525x     10x
10.0%     $52,000    519x      9x
10.1%     $51,485    514x      9x
10.2%     $50,980    509x      9x
10.3%     $50,485    504x      9x
10.4%     $50,000    499x      9x
10.5%     $49,524    495x      9x
10.6%     $49,057    490x      9x
10.7%     $48,598    485x      9x
10.8%     $48,148    481x      9x
10.9%     $47,706    477x      9x
11.0%     $47,273    472x      9x
11.1%     $46,847    468x      9x
11.2%     $46,429    464x      8x
11.3%     $46,018    460x      8x
11.4%     $45,614    456x      8x
11.5%     $45,217    452x      8x
11.6%     $44,828    448x      8x
11.7%     $44,444    444x      8x
11.8%     $44,068    440x      8x
11.9%     $43,697    436x      8x
12.0%     $43,333    433x      8x
12.1%     $42,975    429x      8x
12.2%     $42,623    426x      8x
12.3%     $42,276    422x      8x
12.4%     $41,935    419x      8x
12.5%     $41,600    415x      7x
12.6%     $41,270    412x      7x
12.7%     $40,945    409x      7x
12.8%     $40,625    406x      7x
12.9%     $40,310    403x      7x
13.0%     $40,000    399x      7x
13.1%     $39,695    396x      7x
13.2%     $39,394    393x      7x
13.3%     $39,098    390x      7x
13.4%     $38,806    388x      7x
13.5%     $38,519    385x      7x
13.6%     $38,235    382x      7x
13.6%     $37,956    379x      7x
13.8%     $37,681    376x      7x
13.9%     $37,410    374x      7x
14.0%     $37,143    371x      7x
14.0%     $36,879    368x      7x
14.2%     $36,620    366x      7x
14.3%     $36,364    363x      6x
14.4%     $36,111    361x      6x
14.4%     $35,862    358x      6x
14.6%     $35,616    356x      6x
14.7%     $35,374    353x      6x
14.8%     $35,135    351x      6x
14.9%     $34,899    348x      6x
15.0%     $34,667    346x      6x
15.1%     $34,437    344x      6x
15.2%     $34,211    342x      6x
15.3%     $33,987    339x      6x
15.4%     $33,766    337x      6x
15.5%     $33,548    335x      6x
15.6%     $33,333    333x      6x
15.7%     $33,121    331x      6x
15.8%     $32,911    329x      6x
15.9%     $32,704    327x      6x
16.0%     $32,500    324x      6x
16.1%     $32,298    322x      6x
16.2%     $32,099    320x      6x
16.3%     $31,902    319x      6x
16.4%     $31,707    317x      6x
16.5%     $31,515    315x      6x
16.6%     $31,325    313x      6x
16.7%     $31,138    311x      5x
16.8%     $30,952    309x      5x
16.9%     $30,769    307x      5x
17.0%     $30,588    305x      5x
17.1%     $30,409    304x      5x
17.2%     $30,233    302x      5x
17.3%     $30,058    300x      5x
17.4%     $29,885    298x      5x
17.5%     $29,714    297x      5x
17.6%     $29,545    295x      5x
17.7%     $29,379    293x      5x
17.8%     $29,213    292x      5x
17.9%     $29,050    290x      5x
18.0%     $28,889    288x      5x
18.1%     $28,729    287x      5x
18.2%     $28,571    285x      5x
18.3%     $28,415    284x      5x
18.4%     $28,261    282x      5x
18.5%     $28,108    281x      5x
18.6%     $27,957    279x      5x
18.7%     $27,807    278x      5x
18.9%     $27,513    275x      5x
19.0%     $27,368    273x      5x
19.1%     $27,225    272x      5x
19.2%     $27,083    270x      5x
19.3%     $26,943    269x      5x
19.4%     $26,804    268x      5x
19.5%     $26,667    266x      5x
19.6%     $26,531    265x      5x
19.7%     $26,396    263x      5x
19.8%     $26,263    262x      5x
19.9%     $26,131    261x      5x
20.0%     $26,000    260x      5x
