Rate   Price       Weekly x  Annual x
~~~~   ~~~~~       ~~~~~~~~  ~~~~~~~~

 0.0%  $9,750,000  13000x    250x
 0.1%  $8,622,975  11497x    221x
 0.2%  $7,666,745  10222x    196x
 0.3%  $6,852,336   9136x    175x
 0.4%  $6,156,014   8208x    157x
 0.5%  $5,558,291   7411x    142x
 0.6%  $5,043,139   6724x    129x
 0.7%  $4,597,339   6129x    117x
 0.7%  $4,597,339   6129x    117x
 0.9%  $3,871,983   5162x     99x
 0.9%  $3,871,983   5162x     99x
 1.0%  $3,575,869   4767x     91x
 1.2%  $3,085,277   4113x     79x
 1.3%  $2,881,215   3841x     73x
 1.4%  $2,699,526   3599x     69x
 1.5%  $2,537,127   3382x     65x
 1.6%  $2,391,419   3188x     61x
 1.7%  $2,260,204   3013x     57x
 1.8%  $2,141,614   2855x     54x
 1.9%  $2,034,064   2712x     52x
 2.0%  $1,936,196   2581x     49x
 2.1%  $1,846,853   2462x     47x
 2.2%  $1,765,037   2353x     45x
 2.3%  $1,689,892   2253x     43x
 2.4%  $1,620,676   2160x     41x
 2.5%  $1,556,748   2075x     39x
 2.6%  $1,497,550   1996x     38x
 2.7%  $1,442,595   1923x     36x
 2.8%  $1,391,459   1855x     35x
 2.9%  $1,343,769   1791x     34x
 3.0%  $1,299,197   1732x     33x
 3.1%  $1,257,455   1676x     32x
 3.2%  $1,218,287   1624x     31x
 3.3%  $1,181,465   1575x     30x
 3.4%  $1,146,790   1529x     29x
 3.5%  $1,114,081   1485x     28x
 3.6%  $1,083,177   1444x     27x
 3.7%  $1,053,934   1405x     27x
 3.8%  $1,026,224   1368x     26x
 3.9%    $999,930   1333x     25x
 4.0%    $974,946   1299x     24x
 4.1%    $951,178   1268x     24x
 4.2%    $928,540   1238x     23x
 4.3%    $906,952   1209x     23x
 4.4%    $886,345   1181x     22x
 4.5%    $866,652   1155x     22x
 4.6%    $847,815   1130x     21x
 4.6%    $847,815   1130x     21x
 4.7%    $829,779   1106x     21x
 4.8%    $812,493   1083x     20x
 4.9%    $795,913   1061x     20x
 5.0%    $779,996   1039x     19x
 5.1%    $764,703   1019x     19x
 5.2%    $749,998    999x     19x
 5.3%    $735,847    981x     18x
 5.4%    $722,221    962x     18x
 5.5%    $709,090    945x     18x
 5.6%    $696,428    928x     17x
 5.7%    $684,210    912x     17x
 5.8%    $672,413    896x     17x
 5.9%    $661,017    881x     16x
 6.0%    $650,000    866x     16x
 6.1%    $639,344    852x     16x
 6.2%    $629,032    838x     16x
 6.3%    $619,047    825x     15x
 6.4%    $609,375    812x     15x
 6.5%    $600,000    799x     15x
 6.6%    $590,909    787x     15x
 6.7%    $582,089    776x     14x
 6.8%    $573,529    764x     14x
 6.9%    $565,217    753x     14x
 7.0%    $557,143    742x     14x
 7.1%    $549,296    732x     14x
 7.2%    $541,667    722x     13x
 7.3%    $534,247    712x     13x
 7.4%    $527,027    702x     13x
 7.5%    $520,000    693x     13x
 7.6%    $513,158    684x     13x
 7.7%    $506,494    675x     12x
 7.8%    $500,000    666x     12x
 7.9%    $493,671    658x     12x
 8.0%    $487,500    649x     12x
 8.1%    $481,481    641x     12x
 8.2%    $475,610    634x     12x
