Rate   Price       Weekly x  Annual x
 8.3%    $469,880    626x     12x
 8.4%    $464,286    619x     11x
 8.5%    $458,824    611x     11x
 8.6%    $453,488    604x     11x
 8.7%    $448,276    597x     11x
 8.8%    $443,182    590x     11x
 8.9%    $438,202    584x     11x
 9.0%    $433,333    577x     11x
 9.1%    $428,571    571x     10x
 9.2%    $423,913    565x     10x
 9.3%    $419,355    559x     10x
 9.4%    $414,894    553x     10x
 9.5%    $410,526    547x     10x
 9.6%    $406,250    541x     10x
 9.7%    $402,062    536x     10x
 9.8%    $397,959    530x     10x
 9.9%    $393,939    525x     10x
10.0%    $390,000    519x      9x
10.1%    $386,139    514x      9x
10.2%    $382,353    509x      9x
10.3%    $378,641    504x      9x
10.4%    $375,000    499x      9x
10.5%    $371,429    495x      9x
10.6%    $367,925    490x      9x
10.7%    $364,486    485x      9x
10.8%    $361,111    481x      9x
10.9%    $357,798    477x      9x
11.0%    $354,545    472x      9x
11.1%    $351,351    468x      9x
11.2%    $348,214    464x      8x
11.3%    $345,133    460x      8x
11.4%    $342,105    456x      8x
11.5%    $339,130    452x      8x
11.6%    $336,207    448x      8x
11.7%    $333,333    444x      8x
11.8%    $330,508    440x      8x
11.9%    $327,731    436x      8x
12.0%    $325,000    433x      8x
12.1%    $322,314    429x      8x
12.2%    $319,672    426x      8x
12.3%    $317,073    422x      8x
12.4%    $314,516    419x      8x
12.5%    $312,000    415x      7x
12.6%    $309,524    412x      7x
12.7%    $307,087    409x      7x
12.8%    $304,687    406x      7x
12.9%    $302,326    403x      7x
13.0%    $300,000    399x      7x
13.1%    $297,710    396x      7x
13.2%    $295,455    393x      7x
13.3%    $293,233    390x      7x
13.4%    $291,045    388x      7x
13.5%    $288,889    385x      7x
13.6%    $286,765    382x      7x
13.6%    $284,672    379x      7x
13.8%    $282,609    376x      7x
13.9%    $280,576    374x      7x
14.0%    $278,571    371x      7x
14.0%    $276,596    368x      7x
14.2%    $274,648    366x      7x
14.3%    $272,727    363x      6x
14.4%    $270,833    361x      6x
14.4%    $268,966    358x      6x
14.6%    $267,123    356x      6x
14.7%    $265,306    353x      6x
14.8%    $263,514    351x      6x
14.9%    $261,745    348x      6x
15.0%    $260,000    346x      6x
15.1%    $258,278    344x      6x
15.2%    $256,579    342x      6x
15.3%    $254,902    339x      6x
15.4%    $253,247    337x      6x
15.5%    $251,613    335x      6x
15.6%    $250,000    333x      6x
15.7%    $248,408    331x      6x
15.8%    $246,835    329x      6x
15.9%    $245,283    327x      6x
16.0%    $243,750    324x      6x
16.1%    $242,236    322x      6x
16.2%    $240,741    320x      6x
16.3%    $239,264    319x      6x
16.4%    $237,805    317x      6x
16.5%    $236,364    315x      6x
16.6%    $234,940    313x      6x
16.7%    $233,533    311x      5x
16.8%    $232,143    309x      5x
16.9%    $230,769    307x      5x
17.0%    $229,412    305x      5x
17.1%    $228,070    304x      5x
17.2%    $226,744    302x      5x
17.3%    $225,434    300x      5x
17.4%    $224,138    298x      5x
17.5%    $222,857    297x      5x
17.6%    $221,591    295x      5x
17.7%    $220,339    293x      5x
17.8%    $219,101    292x      5x
17.9%    $217,877    290x      5x
18.0%    $216,667    288x      5x
18.1%    $215,470    287x      5x
18.2%    $214,286    285x      5x
18.3%    $213,115    284x      5x
18.4%    $211,957    282x      5x
18.5%    $210,811    281x      5x
18.6%    $209,677    279x      5x
18.7%    $208,556    278x      5x
18.9%    $206,349    275x      5x
19.0%    $205,263    273x      5x
19.1%    $204,188    272x      5x
19.2%    $203,125    270x      5x
19.3%    $202,073    269x      5x
19.4%    $201,031    268x      5x
19.5%    $200,000    266x      5x
19.6%    $198,980    265x      5x
19.7%    $197,970    263x      5x
19.8%    $196,970    262x      5x
19.9%    $195,980    261x      5x
20.0%    $195,000    260x      5x
