Rate   Price       Weekly x  Annual x
~~~~   ~~~~~       ~~~~~~~~  ~~~~~~~~

 0.0%  $13,000,000  13000x    250x
 0.1%  $11,497,300  11497x    221x
 0.2%  $10,222,326  10222x    196x
 0.3%  $9,136,448   9136x    175x
 0.4%  $8,208,018   8208x    157x
 0.5%  $7,411,055   7411x    142x
 0.6%  $6,724,185   6724x    129x
 0.7%  $6,129,785   6129x    117x
 0.7%  $6,129,785   6129x    117x
 0.9%  $5,162,644   5162x     99x
 0.9%  $5,162,644   5162x     99x
 1.0%  $4,767,825   4767x     91x
 1.2%  $4,113,702   4113x     79x
 1.3%  $3,841,621   3841x     73x
 1.4%  $3,599,368   3599x     69x
 1.5%  $3,382,836   3382x     65x
 1.6%  $3,188,559   3188x     61x
 1.7%  $3,013,605   3013x     57x
 1.8%  $2,855,486   2855x     54x
 1.9%  $2,712,085   2712x     52x
 2.0%  $2,581,595   2581x     49x
 2.1%  $2,462,471   2462x     47x
 2.2%  $2,353,383   2353x     45x
 2.3%  $2,253,189   2253x     43x
 2.4%  $2,160,902   2160x     41x
 2.5%  $2,075,664   2075x     39x
 2.6%  $1,996,733   1996x     38x
 2.7%  $1,923,460   1923x     36x
 2.8%  $1,855,278   1855x     35x
 2.9%  $1,791,692   1791x     34x
 3.0%  $1,732,263   1732x     33x
 3.1%  $1,676,607   1676x     32x
 3.2%  $1,624,382   1624x     31x
 3.3%  $1,575,287   1575x     30x
 3.4%  $1,529,053   1529x     29x
 3.5%  $1,485,441   1485x     28x
 3.6%  $1,444,236   1444x     27x
 3.7%  $1,405,246   1405x     27x
 3.8%  $1,368,299   1368x     26x
 3.9%  $1,333,240   1333x     25x
 4.0%  $1,299,928   1299x     24x
 4.1%  $1,268,238   1268x     24x
 4.2%  $1,238,053   1238x     23x
 4.3%  $1,209,270   1209x     23x
 4.4%  $1,181,793   1181x     22x
 4.5%  $1,155,536   1155x     22x
 4.6%  $1,130,420   1130x     21x
 4.6%  $1,130,420   1130x     21x
 4.7%  $1,106,372   1106x     21x
 4.8%  $1,083,325   1083x     20x
 4.9%  $1,061,218   1061x     20x
 5.0%  $1,039,995   1039x     19x
 5.1%  $1,019,604   1019x     19x
 5.2%    $999,997    999x     19x
 5.3%    $981,130    981x     18x
 5.4%    $962,961    962x     18x
 5.5%    $945,453    945x     18x
 5.6%    $928,570    928x     17x
 5.7%    $912,280    912x     17x
 5.8%    $896,551    896x     17x
 5.9%    $881,355    881x     16x
 6.0%    $866,666    866x     16x
 6.1%    $852,459    852x     16x
 6.2%    $838,709    838x     16x
 6.3%    $825,397    825x     15x
 6.4%    $812,500    812x     15x
 6.5%    $800,000    799x     15x
 6.6%    $787,879    787x     15x
 6.7%    $776,119    776x     14x
 6.8%    $764,706    764x     14x
 6.9%    $753,623    753x     14x
 7.0%    $742,857    742x     14x
 7.1%    $732,394    732x     14x
 7.2%    $722,222    722x     13x
 7.3%    $712,329    712x     13x
 7.4%    $702,703    702x     13x
 7.5%    $693,333    693x     13x
 7.6%    $684,211    684x     13x
 7.7%    $675,325    675x     12x
 7.8%    $666,667    666x     12x
 7.9%    $658,228    658x     12x
 8.0%    $650,000    649x     12x
