Rate   Price       Weekly x  Annual x
 8.1%    $641,975    641x     12x
 8.2%    $634,146    634x     12x
 8.3%    $626,506    626x     12x
 8.4%    $619,048    619x     11x
 8.5%    $611,765    611x     11x
 8.6%    $604,651    604x     11x
 8.7%    $597,701    597x     11x
 8.8%    $590,909    590x     11x
 8.9%    $584,270    584x     11x
 9.0%    $577,778    577x     11x
 9.1%    $571,429    571x     10x
 9.2%    $565,217    565x     10x
 9.3%    $559,140    559x     10x
 9.4%    $553,191    553x     10x
 9.5%    $547,368    547x     10x
 9.6%    $541,667    541x     10x
 9.7%    $536,082    536x     10x
 9.8%    $530,612    530x     10x
 9.9%    $525,253    525x     10x
10.0%    $520,000    519x      9x
10.1%    $514,851    514x      9x
10.2%    $509,804    509x      9x
10.3%    $504,854    504x      9x
10.4%    $500,000    499x      9x
10.5%    $495,238    495x      9x
10.6%    $490,566    490x      9x
10.7%    $485,981    485x      9x
10.8%    $481,481    481x      9x
10.9%    $477,064    477x      9x
11.0%    $472,727    472x      9x
11.1%    $468,468    468x      9x
11.2%    $464,286    464x      8x
11.3%    $460,177    460x      8x
11.4%    $456,140    456x      8x
11.5%    $452,174    452x      8x
11.6%    $448,276    448x      8x
11.7%    $444,444    444x      8x
11.8%    $440,678    440x      8x
11.9%    $436,975    436x      8x
12.0%    $433,333    433x      8x
12.1%    $429,752    429x      8x
12.2%    $426,230    426x      8x
12.3%    $422,764    422x      8x
12.4%    $419,355    419x      8x
12.5%    $416,000    415x      7x
12.6%    $412,698    412x      7x
12.7%    $409,449    409x      7x
12.8%    $406,250    406x      7x
12.9%    $403,101    403x      7x
13.0%    $400,000    399x      7x
13.1%    $396,947    396x      7x
13.2%    $393,939    393x      7x
13.3%    $390,977    390x      7x
13.4%    $388,060    388x      7x
13.5%    $385,185    385x      7x
13.6%    $382,353    382x      7x
13.6%    $379,562    379x      7x
13.8%    $376,812    376x      7x
13.9%    $374,101    374x      7x
14.0%    $371,429    371x      7x
14.0%    $368,794    368x      7x
14.2%    $366,197    366x      7x
14.3%    $363,636    363x      6x
14.4%    $361,111    361x      6x
14.4%    $358,621    358x      6x
14.6%    $356,164    356x      6x
14.7%    $353,741    353x      6x
14.8%    $351,351    351x      6x
14.9%    $348,993    348x      6x
15.0%    $346,667    346x      6x
15.1%    $344,371    344x      6x
15.2%    $342,105    342x      6x
15.3%    $339,869    339x      6x
15.4%    $337,662    337x      6x
15.5%    $335,484    335x      6x
15.6%    $333,333    333x      6x
15.7%    $331,210    331x      6x
15.8%    $329,114    329x      6x
15.9%    $327,044    327x      6x
16.0%    $325,000    325x      6x
16.1%    $322,981    322x      6x
16.2%    $320,988    320x      6x
16.3%    $319,018    319x      6x
16.4%    $317,073    317x      6x
16.5%    $315,152    315x      6x
16.6%    $313,253    313x      6x
16.7%    $311,377    311x      5x
16.8%    $309,524    309x      5x
16.9%    $307,692    307x      5x
17.0%    $305,882    305x      5x
17.1%    $304,094    304x      5x
17.2%    $302,326    302x      5x
17.3%    $300,578    300x      5x
17.4%    $298,851    298x      5x
17.5%    $297,143    297x      5x
17.6%    $295,455    295x      5x
17.7%    $293,785    293x      5x
17.8%    $292,135    292x      5x
17.9%    $290,503    290x      5x
18.0%    $288,889    288x      5x
18.1%    $287,293    287x      5x
18.2%    $285,714    285x      5x
18.3%    $284,153    284x      5x
18.4%    $282,609    282x      5x
18.5%    $281,081    281x      5x
18.6%    $279,570    279x      5x
18.7%    $278,075    278x      5x
18.9%    $275,132    275x      5x
19.0%    $273,684    273x      5x
19.1%    $272,251    272x      5x
19.2%    $270,833    270x      5x
19.3%    $269,430    269x      5x
19.4%    $268,041    268x      5x
19.5%    $266,667    266x      5x
19.6%    $265,306    265x      5x
19.7%    $263,959    263x      5x
19.8%    $262,626    262x      5x
19.9%    $261,307    261x      5x
20.0%    $260,000    260x      5x
