Rate   Price       Weekly x  Annual x
~~~~   ~~~~~       ~~~~~~~~  ~~~~~~~~

 0.0%  $4,550,000  13000x    250x
 0.1%  $4,024,055  11497x    221x
 0.2%  $3,577,814  10222x    196x
 0.3%  $3,197,757   9136x    175x
 0.4%  $2,872,806   8208x    157x
 0.5%  $2,593,869   7411x    142x
 0.6%  $2,353,465   6724x    129x
 0.7%  $2,145,425   6129x    117x
 0.7%  $2,145,425   6129x    117x
 0.9%  $1,806,926   5162x     99x
 0.9%  $1,806,926   5162x     99x
 1.0%  $1,668,739   4767x     91x
 1.2%  $1,439,796   4113x     79x
 1.3%  $1,344,567   3841x     73x
 1.4%  $1,259,779   3599x     69x
 1.5%  $1,183,993   3382x     65x
 1.6%  $1,115,996   3188x     61x
 1.7%  $1,054,762   3013x     57x
 1.8%    $999,420   2855x     54x
 1.9%    $949,230   2712x     52x
 2.0%    $903,558   2581x     49x
 2.1%    $861,865   2462x     47x
 2.2%    $823,684   2353x     45x
 2.3%    $788,616   2253x     43x
 2.4%    $756,316   2160x     41x
 2.5%    $726,482   2075x     39x
 2.6%    $698,856   1996x     38x
 2.7%    $673,211   1923x     36x
 2.8%    $649,347   1855x     35x
 2.9%    $627,092   1791x     34x
 3.0%    $606,292   1732x     33x
 3.1%    $586,812   1676x     32x
 3.2%    $568,534   1624x     31x
 3.3%    $551,351   1575x     30x
 3.4%    $535,169   1529x     29x
 3.5%    $519,904   1485x     28x
 3.6%    $505,482   1444x     27x
 3.7%    $491,836   1405x     27x
 3.8%    $478,905   1368x     26x
 3.9%    $466,634   1333x     25x
 4.0%    $454,975   1299x     24x
 4.1%    $443,883   1268x     24x
 4.2%    $433,319   1238x     23x
 4.3%    $423,244   1209x     23x
 4.4%    $413,628   1181x     22x
 4.5%    $404,438   1155x     22x
 4.6%    $395,647   1130x     21x
 4.6%    $395,647   1130x     21x
 4.7%    $387,230   1106x     21x
 4.8%    $379,164   1083x     20x
 4.9%    $371,426   1061x     20x
 5.0%    $363,998   1039x     19x
 5.1%    $356,861   1019x     19x
 5.2%    $349,999    999x     19x
 5.3%    $343,395    981x     18x
 5.4%    $337,036    962x     18x
 5.5%    $330,909    945x     18x
 5.6%    $325,000    928x     17x
 5.7%    $319,298    912x     17x
 5.8%    $313,793    896x     17x
 5.9%    $308,474    881x     16x
 6.0%    $303,333    866x     16x
 6.1%    $298,361    852x     16x
 6.2%    $293,548    838x     16x
 6.3%    $288,889    825x     15x
 6.4%    $284,375    812x     15x
 6.5%    $280,000    799x     15x
 6.6%    $275,758    787x     15x
 6.7%    $271,642    776x     14x
 6.8%    $267,647    764x     14x
 6.9%    $263,768    753x     14x
 7.0%    $260,000    742x     14x
 7.1%    $256,338    732x     14x
 7.2%    $252,778    722x     13x
 7.3%    $249,315    712x     13x
 7.4%    $245,946    702x     13x
 7.5%    $242,667    693x     13x
 7.6%    $239,474    684x     13x
 7.7%    $236,364    675x     12x
 7.8%    $233,333    666x     12x
 7.9%    $230,380    658x     12x
 8.0%    $227,500    649x     12x
 8.1%    $224,691    641x     12x
 8.2%    $221,951    634x     12x
 8.3%    $219,277    626x     12x
 8.4%    $216,667    619x     11x
