Rate   Price       Weekly x  Annual x
 8.5%    $214,118    611x     11x
 8.6%    $211,628    604x     11x
 8.7%    $209,195    597x     11x
 8.8%    $206,818    590x     11x
 8.9%    $204,494    584x     11x
 9.0%    $202,222    577x     11x
 9.1%    $200,000    571x     10x
 9.2%    $197,826    565x     10x
 9.3%    $195,699    559x     10x
 9.4%    $193,617    553x     10x
 9.5%    $191,579    547x     10x
 9.6%    $189,583    541x     10x
 9.7%    $187,629    536x     10x
 9.8%    $185,714    530x     10x
 9.9%    $183,838    525x     10x
10.0%    $182,000    519x      9x
10.1%    $180,198    514x      9x
10.2%    $178,431    509x      9x
10.3%    $176,699    504x      9x
10.4%    $175,000    499x      9x
10.5%    $173,333    495x      9x
10.6%    $171,698    490x      9x
10.7%    $170,093    485x      9x
10.8%    $168,519    481x      9x
10.9%    $166,972    477x      9x
11.0%    $165,455    472x      9x
11.1%    $163,964    468x      9x
11.2%    $162,500    464x      8x
11.3%    $161,062    460x      8x
11.4%    $159,649    456x      8x
11.5%    $158,261    452x      8x
11.6%    $156,897    448x      8x
11.7%    $155,556    444x      8x
11.8%    $154,237    440x      8x
11.9%    $152,941    436x      8x
12.0%    $151,667    433x      8x
12.1%    $150,413    429x      8x
12.2%    $149,180    426x      8x
12.3%    $147,967    422x      8x
12.4%    $146,774    419x      8x
12.5%    $145,600    415x      7x
12.6%    $144,444    412x      7x
12.7%    $143,307    409x      7x
12.8%    $142,187    406x      7x
12.9%    $141,085    403x      7x
13.0%    $140,000    399x      7x
13.1%    $138,931    396x      7x
13.2%    $137,879    393x      7x
13.3%    $136,842    390x      7x
13.4%    $135,821    388x      7x
13.5%    $134,815    385x      7x
13.6%    $133,824    382x      7x
13.6%    $132,847    379x      7x
13.8%    $131,884    376x      7x
13.9%    $130,935    374x      7x
14.0%    $130,000    371x      7x
14.0%    $129,078    368x      7x
14.2%    $128,169    366x      7x
14.3%    $127,273    363x      6x
14.4%    $126,389    361x      6x
14.4%    $125,517    358x      6x
14.6%    $124,658    356x      6x
14.7%    $123,810    353x      6x
14.8%    $122,973    351x      6x
14.9%    $122,148    348x      6x
15.0%    $121,333    346x      6x
15.1%    $120,530    344x      6x
15.2%    $119,737    342x      6x
15.3%    $118,954    339x      6x
15.4%    $118,182    337x      6x
15.5%    $117,419    335x      6x
15.6%    $116,667    333x      6x
15.7%    $115,924    331x      6x
15.8%    $115,190    329x      6x
15.9%    $114,465    327x      6x
16.0%    $113,750    324x      6x
16.1%    $113,043    322x      6x
16.2%    $112,346    320x      6x
16.3%    $111,656    319x      6x
16.4%    $110,976    317x      6x
16.5%    $110,303    315x      6x
16.6%    $109,639    313x      6x
16.7%    $108,982    311x      5x
16.8%    $108,333    309x      5x
16.9%    $107,692    307x      5x
17.0%    $107,059    305x      5x
17.1%    $106,433    304x      5x
17.2%    $105,814    302x      5x
17.3%    $105,202    300x      5x
17.4%    $104,598    298x      5x
17.5%    $104,000    297x      5x
17.6%    $103,409    295x      5x
17.7%    $102,825    293x      5x
17.8%    $102,247    292x      5x
17.9%    $101,676    290x      5x
18.0%    $101,111    288x      5x
18.1%    $100,552    287x      5x
18.2%    $100,000    285x      5x
18.3%     $99,454    284x      5x
18.4%     $98,913    282x      5x
18.5%     $98,378    281x      5x
18.6%     $97,849    279x      5x
18.7%     $97,326    278x      5x
18.9%     $96,296    275x      5x
19.0%     $95,789    273x      5x
19.1%     $95,288    272x      5x
19.2%     $94,792    270x      5x
19.3%     $94,301    269x      5x
19.4%     $93,814    268x      5x
19.5%     $93,333    266x      5x
19.6%     $92,857    265x      5x
19.7%     $92,386    263x      5x
19.8%     $91,919    262x      5x
19.9%     $91,457    261x      5x
20.0%     $91,000    259x      4x
