Rate   Price       Weekly x  Annual x
 8.4%    $340,476    619x     11x
 8.5%    $336,471    611x     11x
 8.6%    $332,558    604x     11x
 8.7%    $328,736    597x     11x
 8.8%    $325,000    590x     11x
 8.9%    $321,348    584x     11x
 9.0%    $317,778    577x     11x
 9.1%    $314,286    571x     10x
 9.2%    $310,870    565x     10x
 9.3%    $307,527    559x     10x
 9.4%    $304,255    553x     10x
 9.5%    $301,053    547x     10x
 9.6%    $297,917    541x     10x
 9.7%    $294,845    536x     10x
 9.8%    $291,837    530x     10x
 9.9%    $288,889    525x     10x
10.0%    $286,000    519x      9x
10.1%    $283,168    514x      9x
10.2%    $280,392    509x      9x
10.3%    $277,670    504x      9x
10.4%    $275,000    499x      9x
10.5%    $272,381    495x      9x
10.6%    $269,811    490x      9x
10.7%    $267,290    485x      9x
10.8%    $264,815    481x      9x
10.9%    $262,385    477x      9x
11.0%    $260,000    472x      9x
11.1%    $257,658    468x      9x
11.2%    $255,357    464x      8x
11.3%    $253,097    460x      8x
11.4%    $250,877    456x      8x
11.5%    $248,696    452x      8x
11.6%    $246,552    448x      8x
11.7%    $244,444    444x      8x
11.8%    $242,373    440x      8x
11.9%    $240,336    436x      8x
12.0%    $238,333    433x      8x
12.1%    $236,364    429x      8x
12.2%    $234,426    426x      8x
12.3%    $232,520    422x      8x
12.4%    $230,645    419x      8x
12.5%    $228,800    415x      7x
12.6%    $226,984    412x      7x
12.7%    $225,197    409x      7x
12.8%    $223,437    406x      7x
12.9%    $221,705    403x      7x
13.0%    $220,000    399x      7x
13.1%    $218,321    396x      7x
13.2%    $216,667    393x      7x
13.3%    $215,038    390x      7x
13.4%    $213,433    388x      7x
13.5%    $211,852    385x      7x
13.6%    $210,294    382x      7x
13.6%    $208,759    379x      7x
13.8%    $207,246    376x      7x
13.9%    $205,755    374x      7x
14.0%    $204,286    371x      7x
14.0%    $202,837    368x      7x
14.2%    $201,408    366x      7x
14.3%    $200,000    363x      6x
14.4%    $198,611    361x      6x
14.4%    $197,241    358x      6x
14.6%    $195,890    356x      6x
14.7%    $194,558    353x      6x
14.8%    $193,243    351x      6x
14.9%    $191,946    348x      6x
15.0%    $190,667    346x      6x
15.1%    $189,404    344x      6x
15.2%    $188,158    342x      6x
15.3%    $186,928    339x      6x
15.4%    $185,714    337x      6x
15.5%    $184,516    335x      6x
15.6%    $183,333    333x      6x
15.7%    $182,166    331x      6x
15.8%    $181,013    329x      6x
15.9%    $179,874    327x      6x
16.0%    $178,750    325x      6x
16.1%    $177,640    322x      6x
16.2%    $176,543    320x      6x
16.3%    $175,460    319x      6x
16.4%    $174,390    317x      6x
16.5%    $173,333    315x      6x
16.6%    $172,289    313x      6x
16.7%    $171,257    311x      5x
16.8%    $170,238    309x      5x
16.9%    $169,231    307x      5x
17.0%    $168,235    305x      5x
17.1%    $167,251    304x      5x
17.2%    $166,279    302x      5x
17.3%    $165,318    300x      5x
17.4%    $164,368    298x      5x
17.5%    $163,429    297x      5x
17.6%    $162,500    295x      5x
17.7%    $161,582    293x      5x
17.8%    $160,674    292x      5x
17.9%    $159,777    290x      5x
18.0%    $158,889    288x      5x
18.1%    $158,011    287x      5x
18.2%    $157,143    285x      5x
18.3%    $156,284    284x      5x
18.4%    $155,435    282x      5x
18.5%    $154,595    281x      5x
18.6%    $153,763    279x      5x
18.7%    $152,941    278x      5x
18.9%    $151,323    275x      5x
19.0%    $150,526    273x      5x
19.1%    $149,738    272x      5x
19.2%    $148,958    270x      5x
19.3%    $148,187    269x      5x
19.4%    $147,423    268x      5x
19.5%    $146,667    266x      5x
19.6%    $145,918    265x      5x
19.7%    $145,178    263x      5x
19.8%    $144,444    262x      5x
19.9%    $143,719    261x      5x
20.0%    $143,000    260x      5x
