Rate   Price       Weekly x  Annual x
~~~~   ~~~~~       ~~~~~~~~  ~~~~~~~~

 0.0%  $7,150,000  13000x    250x
 0.1%  $6,323,515  11497x    221x
 0.2%  $5,622,280  10222x    196x
 0.3%  $5,025,047   9136x    175x
 0.4%  $4,514,410   8208x    157x
 0.5%  $4,076,080   7411x    142x
 0.6%  $3,698,302   6724x    129x
 0.7%  $3,371,382   6129x    117x
 0.7%  $3,371,382   6129x    117x
 0.9%  $2,839,454   5162x     99x
 0.9%  $2,839,454   5162x     99x
 1.0%  $2,622,304   4767x     91x
 1.2%  $2,262,536   4113x     79x
 1.3%  $2,112,891   3841x     73x
 1.4%  $1,979,652   3599x     69x
 1.5%  $1,860,560   3382x     65x
 1.6%  $1,753,708   3188x     61x
 1.7%  $1,657,483   3013x     57x
 1.8%  $1,570,517   2855x     54x
 1.9%  $1,491,647   2712x     52x
 2.0%  $1,419,877   2581x     49x
 2.1%  $1,354,359   2462x     47x
 2.2%  $1,294,361   2353x     45x
 2.3%  $1,239,254   2253x     43x
 2.4%  $1,188,496   2160x     41x
 2.5%  $1,141,615   2075x     39x
 2.6%  $1,098,203   1996x     38x
 2.7%  $1,057,903   1923x     36x
 2.8%  $1,020,403   1855x     35x
 2.9%    $985,430   1791x     34x
 3.0%    $952,745   1732x     33x
 3.1%    $922,134   1676x     32x
 3.2%    $893,410   1624x     31x
 3.3%    $866,408   1575x     30x
 3.4%    $840,979   1529x     29x
 3.5%    $816,992   1485x     28x
 3.6%    $794,330   1444x     27x
 3.7%    $772,885   1405x     27x
 3.8%    $752,564   1368x     26x
 3.9%    $733,282   1333x     25x
 4.0%    $714,961   1299x     24x
 4.1%    $697,531   1268x     24x
 4.2%    $680,929   1238x     23x
 4.3%    $665,098   1209x     23x
 4.4%    $649,986   1181x     22x
 4.5%    $635,545   1155x     22x
 4.6%    $621,731   1130x     21x
 4.6%    $621,731   1130x     21x
 4.7%    $608,504   1106x     21x
 4.8%    $595,828   1083x     20x
 4.9%    $583,670   1061x     20x
 5.0%    $571,997   1039x     19x
 5.1%    $560,782   1019x     19x
 5.2%    $549,998    999x     19x
 5.3%    $539,621    981x     18x
 5.4%    $529,629    962x     18x
 5.5%    $519,999    945x     18x
 5.6%    $510,714    928x     17x
 5.7%    $501,754    912x     17x
 5.8%    $493,103    896x     17x
 5.9%    $484,745    881x     16x
 6.0%    $476,666    866x     16x
 6.1%    $468,852    852x     16x
 6.2%    $461,290    838x     16x
 6.3%    $453,968    825x     15x
 6.4%    $446,875    812x     15x
 6.5%    $440,000    799x     15x
 6.6%    $433,333    787x     15x
 6.7%    $426,866    776x     14x
 6.8%    $420,588    764x     14x
 6.9%    $414,493    753x     14x
 7.0%    $408,571    742x     14x
 7.1%    $402,817    732x     14x
 7.2%    $397,222    722x     13x
 7.3%    $391,781    712x     13x
 7.4%    $386,486    702x     13x
 7.5%    $381,333    693x     13x
 7.6%    $376,316    684x     13x
 7.7%    $371,429    675x     12x
 7.8%    $366,667    666x     12x
 7.9%    $362,025    658x     12x
 8.0%    $357,500    649x     12x
 8.1%    $353,086    641x     12x
 8.2%    $348,780    634x     12x
 8.3%    $344,578    626x     12x
