Rate   Price       Weekly x  Annual x
 8.4%    $309,524    619x     11x
 8.5%    $305,882    611x     11x
 8.6%    $302,326    604x     11x
 8.7%    $298,851    597x     11x
 8.8%    $295,455    590x     11x
 8.9%    $292,135    584x     11x
 9.0%    $288,889    577x     11x
 9.1%    $285,714    571x     10x
 9.2%    $282,609    565x     10x
 9.3%    $279,570    559x     10x
 9.4%    $276,596    553x     10x
 9.5%    $273,684    547x     10x
 9.6%    $270,833    541x     10x
 9.7%    $268,041    536x     10x
 9.8%    $265,306    530x     10x
 9.9%    $262,626    525x     10x
10.0%    $260,000    519x      9x
10.1%    $257,426    514x      9x
10.2%    $254,902    509x      9x
10.3%    $252,427    504x      9x
10.4%    $250,000    499x      9x
10.5%    $247,619    495x      9x
10.6%    $245,283    490x      9x
10.7%    $242,991    485x      9x
10.8%    $240,741    481x      9x
10.9%    $238,532    477x      9x
11.0%    $236,364    472x      9x
11.1%    $234,234    468x      9x
11.2%    $232,143    464x      8x
11.3%    $230,088    460x      8x
11.4%    $228,070    456x      8x
11.5%    $226,087    452x      8x
11.6%    $224,138    448x      8x
11.7%    $222,222    444x      8x
11.8%    $220,339    440x      8x
11.9%    $218,487    436x      8x
12.0%    $216,667    433x      8x
12.1%    $214,876    429x      8x
12.2%    $213,115    426x      8x
12.3%    $211,382    422x      8x
12.4%    $209,677    419x      8x
12.5%    $208,000    415x      7x
12.6%    $206,349    412x      7x
12.7%    $204,724    409x      7x
12.8%    $203,125    406x      7x
12.9%    $201,550    403x      7x
13.0%    $200,000    399x      7x
13.1%    $198,473    396x      7x
13.2%    $196,970    393x      7x
13.3%    $195,489    390x      7x
13.4%    $194,030    388x      7x
13.5%    $192,593    385x      7x
13.6%    $191,176    382x      7x
13.6%    $189,781    379x      7x
13.8%    $188,406    376x      7x
13.9%    $187,050    374x      7x
14.0%    $185,714    371x      7x
14.0%    $184,397    368x      7x
14.2%    $183,099    366x      7x
14.3%    $181,818    363x      6x
14.4%    $180,556    361x      6x
14.4%    $179,310    358x      6x
14.6%    $178,082    356x      6x
14.7%    $176,871    353x      6x
14.8%    $175,676    351x      6x
14.9%    $174,497    348x      6x
15.0%    $173,333    346x      6x
15.1%    $172,185    344x      6x
15.2%    $171,053    342x      6x
15.3%    $169,935    339x      6x
15.4%    $168,831    337x      6x
15.5%    $167,742    335x      6x
15.6%    $166,667    333x      6x
15.7%    $165,605    331x      6x
15.8%    $164,557    329x      6x
15.9%    $163,522    327x      6x
16.0%    $162,500    325x      6x
16.1%    $161,491    322x      6x
16.2%    $160,494    320x      6x
16.3%    $159,509    319x      6x
16.4%    $158,537    317x      6x
16.5%    $157,576    315x      6x
16.6%    $156,627    313x      6x
16.7%    $155,689    311x      5x
16.8%    $154,762    309x      5x
16.9%    $153,846    307x      5x
17.0%    $152,941    305x      5x
17.1%    $152,047    304x      5x
17.2%    $151,163    302x      5x
17.3%    $150,289    300x      5x
17.4%    $149,425    298x      5x
17.5%    $148,571    297x      5x
17.6%    $147,727    295x      5x
17.7%    $146,893    293x      5x
17.8%    $146,067    292x      5x
17.9%    $145,251    290x      5x
18.0%    $144,444    288x      5x
18.1%    $143,646    287x      5x
18.2%    $142,857    285x      5x
18.3%    $142,077    284x      5x
18.4%    $141,304    282x      5x
18.5%    $140,541    281x      5x
18.6%    $139,785    279x      5x
18.7%    $139,037    278x      5x
18.9%    $137,566    275x      5x
19.0%    $136,842    273x      5x
19.1%    $136,126    272x      5x
19.2%    $135,417    270x      5x
19.3%    $134,715    269x      5x
19.4%    $134,021    268x      5x
19.5%    $133,333    266x      5x
19.6%    $132,653    265x      5x
19.7%    $131,980    263x      5x
19.8%    $131,313    262x      5x
19.9%    $130,653    261x      5x
20.0%    $130,000    260x      5x
