Rate   Price       Weekly x  Annual x
~~~~   ~~~~~       ~~~~~~~~  ~~~~~~~~

 0.0%  $6,500,000  13000x    250x
 0.1%  $5,748,650  11497x    221x
 0.2%  $5,111,163  10222x    196x
 0.3%  $4,568,224   9136x    175x
 0.4%  $4,104,009   8208x    157x
 0.5%  $3,705,528   7411x    142x
 0.6%  $3,362,093   6724x    129x
 0.7%  $3,064,893   6129x    117x
 0.7%  $3,064,893   6129x    117x
 0.9%  $2,581,322   5162x     99x
 0.9%  $2,581,322   5162x     99x
 1.0%  $2,383,912   4767x     91x
 1.2%  $2,056,851   4113x     79x
 1.3%  $1,920,810   3841x     73x
 1.4%  $1,799,684   3599x     69x
 1.5%  $1,691,418   3382x     65x
 1.6%  $1,594,280   3188x     61x
 1.7%  $1,506,803   3013x     57x
 1.8%  $1,427,743   2855x     54x
 1.9%  $1,356,042   2712x     52x
 2.0%  $1,290,798   2581x     49x
 2.1%  $1,231,235   2462x     47x
 2.2%  $1,176,692   2353x     45x
 2.3%  $1,126,595   2253x     43x
 2.4%  $1,080,451   2160x     41x
 2.5%  $1,037,832   2075x     39x
 2.6%    $998,366   1996x     38x
 2.7%    $961,730   1923x     36x
 2.8%    $927,639   1855x     35x
 2.9%    $895,846   1791x     34x
 3.0%    $866,131   1732x     33x
 3.1%    $838,303   1676x     32x
 3.2%    $812,191   1624x     31x
 3.3%    $787,644   1575x     30x
 3.4%    $764,527   1529x     29x
 3.5%    $742,720   1485x     28x
 3.6%    $722,118   1444x     27x
 3.7%    $702,623   1405x     27x
 3.8%    $684,149   1368x     26x
 3.9%    $666,620   1333x     25x
 4.0%    $649,964   1299x     24x
 4.1%    $634,119   1268x     24x
 4.2%    $619,026   1238x     23x
 4.3%    $604,635   1209x     23x
 4.4%    $590,897   1181x     22x
 4.5%    $577,768   1155x     22x
 4.6%    $565,210   1130x     21x
 4.6%    $565,210   1130x     21x
 4.7%    $553,186   1106x     21x
 4.8%    $541,662   1083x     20x
 4.9%    $530,609   1061x     20x
 5.0%    $519,997   1039x     19x
 5.1%    $509,802   1019x     19x
 5.2%    $499,998    999x     19x
 5.3%    $490,565    981x     18x
 5.4%    $481,481    962x     18x
 5.5%    $472,727    945x     18x
 5.6%    $464,285    928x     17x
 5.7%    $456,140    912x     17x
 5.8%    $448,276    896x     17x
 5.9%    $440,678    881x     16x
 6.0%    $433,333    866x     16x
 6.1%    $426,229    852x     16x
 6.2%    $419,355    838x     16x
 6.3%    $412,698    825x     15x
 6.4%    $406,250    812x     15x
 6.5%    $400,000    799x     15x
 6.6%    $393,939    787x     15x
 6.7%    $388,060    776x     14x
 6.8%    $382,353    764x     14x
 6.9%    $376,812    753x     14x
 7.0%    $371,429    742x     14x
 7.1%    $366,197    732x     14x
 7.2%    $361,111    722x     13x
 7.3%    $356,164    712x     13x
 7.4%    $351,351    702x     13x
 7.5%    $346,667    693x     13x
 7.6%    $342,105    684x     13x
 7.7%    $337,662    675x     12x
 7.8%    $333,333    666x     12x
 7.9%    $329,114    658x     12x
 8.0%    $325,000    649x     12x
 8.1%    $320,988    641x     12x
 8.2%    $317,073    634x     12x
 8.3%    $313,253    626x     12x
