Rate   Price       Weekly x  Annual x
 8.5%    $183,529    611x     11x
 8.6%    $181,395    604x     11x
 8.7%    $179,310    597x     11x
 8.8%    $177,273    590x     11x
 8.9%    $175,281    584x     11x
 9.0%    $173,333    577x     11x
 9.1%    $171,429    571x     10x
 9.2%    $169,565    565x     10x
 9.3%    $167,742    559x     10x
 9.4%    $165,957    553x     10x
 9.5%    $164,211    547x     10x
 9.6%    $162,500    541x     10x
 9.7%    $160,825    536x     10x
 9.8%    $159,184    530x     10x
 9.9%    $157,576    525x     10x
10.0%    $156,000    519x      9x
10.1%    $154,455    514x      9x
10.2%    $152,941    509x      9x
10.3%    $151,456    504x      9x
10.4%    $150,000    499x      9x
10.5%    $148,571    495x      9x
10.6%    $147,170    490x      9x
10.7%    $145,794    485x      9x
10.8%    $144,444    481x      9x
10.9%    $143,119    477x      9x
11.0%    $141,818    472x      9x
11.1%    $140,541    468x      9x
11.2%    $139,286    464x      8x
11.3%    $138,053    460x      8x
11.4%    $136,842    456x      8x
11.5%    $135,652    452x      8x
11.6%    $134,483    448x      8x
11.7%    $133,333    444x      8x
11.8%    $132,203    440x      8x
11.9%    $131,092    436x      8x
12.0%    $130,000    433x      8x
12.1%    $128,926    429x      8x
12.2%    $127,869    426x      8x
12.3%    $126,829    422x      8x
12.4%    $125,806    419x      8x
12.5%    $124,800    415x      7x
12.6%    $123,810    412x      7x
12.7%    $122,835    409x      7x
12.8%    $121,875    406x      7x
12.9%    $120,930    403x      7x
13.0%    $120,000    399x      7x
13.1%    $119,084    396x      7x
13.2%    $118,182    393x      7x
13.3%    $117,293    390x      7x
13.4%    $116,418    388x      7x
13.5%    $115,556    385x      7x
13.6%    $114,706    382x      7x
13.6%    $113,869    379x      7x
13.8%    $113,043    376x      7x
13.9%    $112,230    374x      7x
14.0%    $111,429    371x      7x
14.0%    $110,638    368x      7x
14.2%    $109,859    366x      7x
14.3%    $109,091    363x      6x
14.4%    $108,333    361x      6x
14.4%    $107,586    358x      6x
14.6%    $106,849    356x      6x
14.7%    $106,122    353x      6x
14.8%    $105,405    351x      6x
14.9%    $104,698    348x      6x
15.0%    $104,000    346x      6x
15.1%    $103,311    344x      6x
15.2%    $102,632    342x      6x
15.3%    $101,961    339x      6x
15.4%    $101,299    337x      6x
15.5%    $100,645    335x      6x
15.6%    $100,000    333x      6x
15.7%     $99,363    331x      6x
15.8%     $98,734    329x      6x
15.9%     $98,113    327x      6x
16.0%     $97,500    325x      6x
16.1%     $96,894    322x      6x
16.2%     $96,296    320x      6x
16.3%     $95,706    319x      6x
16.4%     $95,122    317x      6x
16.5%     $94,545    315x      6x
16.6%     $93,976    313x      6x
16.7%     $93,413    311x      5x
16.8%     $92,857    309x      5x
16.9%     $92,308    307x      5x
17.0%     $91,765    305x      5x
17.1%     $91,228    304x      5x
17.2%     $90,698    302x      5x
17.3%     $90,173    300x      5x
17.4%     $89,655    298x      5x
17.5%     $89,143    297x      5x
17.6%     $88,636    295x      5x
17.7%     $88,136    293x      5x
17.8%     $87,640    292x      5x
17.9%     $87,151    290x      5x
18.0%     $86,667    288x      5x
18.1%     $86,188    287x      5x
18.2%     $85,714    285x      5x
18.3%     $85,246    284x      5x
18.4%     $84,783    282x      5x
18.5%     $84,324    281x      5x
18.6%     $83,871    279x      5x
18.7%     $83,422    278x      5x
18.9%     $82,540    275x      5x
19.0%     $82,105    273x      5x
19.1%     $81,675    272x      5x
19.2%     $81,250    270x      5x
19.3%     $80,829    269x      5x
19.4%     $80,412    268x      5x
19.5%     $80,000    266x      5x
19.6%     $79,592    265x      5x
19.7%     $79,188    263x      5x
19.8%     $78,788    262x      5x
19.9%     $78,392    261x      5x
20.0%     $78,000    259x      4x
