Rate   Price       Weekly x  Annual x
~~~~   ~~~~~       ~~~~~~~~  ~~~~~~~~

 0.0%  $3,900,000  13000x    250x
 0.1%  $3,449,190  11497x    221x
 0.2%  $3,066,698  10222x    196x
 0.3%  $2,740,935   9136x    175x
 0.4%  $2,462,405   8208x    157x
 0.5%  $2,223,317   7411x    142x
 0.6%  $2,017,256   6724x    129x
 0.7%  $1,838,936   6129x    117x
 0.7%  $1,838,936   6129x    117x
 0.9%  $1,548,793   5162x     99x
 0.9%  $1,548,793   5162x     99x
 1.0%  $1,430,347   4767x     91x
 1.2%  $1,234,111   4113x     79x
 1.3%  $1,152,486   3841x     73x
 1.4%  $1,079,810   3599x     69x
 1.5%  $1,014,851   3382x     65x
 1.6%    $956,568   3188x     61x
 1.7%    $904,082   3013x     57x
 1.8%    $856,646   2855x     54x
 1.9%    $813,625   2712x     52x
 2.0%    $774,479   2581x     49x
 2.1%    $738,741   2462x     47x
 2.2%    $706,015   2353x     45x
 2.3%    $675,957   2253x     43x
 2.4%    $648,270   2160x     41x
 2.5%    $622,699   2075x     39x
 2.6%    $599,020   1996x     38x
 2.7%    $577,038   1923x     36x
 2.8%    $556,584   1855x     35x
 2.9%    $537,508   1791x     34x
 3.0%    $519,679   1732x     33x
 3.1%    $502,982   1676x     32x
 3.2%    $487,315   1624x     31x
 3.3%    $472,586   1575x     30x
 3.4%    $458,716   1529x     29x
 3.5%    $445,632   1485x     28x
 3.6%    $433,271   1444x     27x
 3.7%    $421,574   1405x     27x
 3.8%    $410,490   1368x     26x
 3.9%    $399,972   1333x     25x
 4.0%    $389,978   1299x     24x
 4.1%    $380,471   1268x     24x
 4.2%    $371,416   1238x     23x
 4.3%    $362,781   1209x     23x
 4.4%    $354,538   1181x     22x
 4.5%    $346,661   1155x     22x
 4.6%    $339,126   1130x     21x
 4.6%    $339,126   1130x     21x
 4.7%    $331,911   1106x     21x
 4.8%    $324,997   1083x     20x
 4.9%    $318,365   1061x     20x
 5.0%    $311,998   1039x     19x
 5.1%    $305,881   1019x     19x
 5.2%    $299,999    999x     19x
 5.3%    $294,339    981x     18x
 5.4%    $288,888    962x     18x
 5.5%    $283,636    945x     18x
 5.6%    $278,571    928x     17x
 5.7%    $273,684    912x     17x
 5.8%    $268,965    896x     17x
 5.9%    $264,407    881x     16x
 6.0%    $260,000    866x     16x
 6.1%    $255,738    852x     16x
 6.2%    $251,613    838x     16x
 6.3%    $247,619    825x     15x
 6.4%    $243,750    812x     15x
 6.5%    $240,000    799x     15x
 6.6%    $236,364    787x     15x
 6.7%    $232,836    776x     14x
 6.8%    $229,412    764x     14x
 6.9%    $226,087    753x     14x
 7.0%    $222,857    742x     14x
 7.1%    $219,718    732x     14x
 7.2%    $216,667    722x     13x
 7.3%    $213,699    712x     13x
 7.4%    $210,811    702x     13x
 7.5%    $208,000    693x     13x
 7.6%    $205,263    684x     13x
 7.7%    $202,597    675x     12x
 7.8%    $200,000    666x     12x
 7.9%    $197,468    658x     12x
 8.0%    $195,000    649x     12x
 8.1%    $192,593    641x     12x
 8.2%    $190,244    634x     12x
 8.3%    $187,952    626x     12x
 8.4%    $185,714    619x     11x
