Rate   Price       Weekly x  Annual x
 8.3%    $407,229    626x     12x
 8.4%    $402,381    619x     11x
 8.5%    $397,647    611x     11x
 8.6%    $393,023    604x     11x
 8.7%    $388,506    597x     11x
 8.8%    $384,091    590x     11x
 8.9%    $379,775    584x     11x
 9.0%    $375,556    577x     11x
 9.1%    $371,429    571x     10x
 9.2%    $367,391    565x     10x
 9.3%    $363,441    559x     10x
 9.4%    $359,574    553x     10x
 9.5%    $355,789    547x     10x
 9.6%    $352,083    541x     10x
 9.7%    $348,454    536x     10x
 9.8%    $344,898    530x     10x
 9.9%    $341,414    525x     10x
10.0%    $338,000    519x      9x
10.1%    $334,653    514x      9x
10.2%    $331,373    509x      9x
10.3%    $328,155    504x      9x
10.4%    $325,000    499x      9x
10.5%    $321,905    495x      9x
10.6%    $318,868    490x      9x
10.7%    $315,888    485x      9x
10.8%    $312,963    481x      9x
10.9%    $310,092    477x      9x
11.0%    $307,273    472x      9x
11.1%    $304,505    468x      9x
11.2%    $301,786    464x      8x
11.3%    $299,115    460x      8x
11.4%    $296,491    456x      8x
11.5%    $293,913    452x      8x
11.6%    $291,379    448x      8x
11.7%    $288,889    444x      8x
11.8%    $286,441    440x      8x
11.9%    $284,034    436x      8x
12.0%    $281,667    433x      8x
12.1%    $279,339    429x      8x
12.2%    $277,049    426x      8x
12.3%    $274,797    422x      8x
12.4%    $272,581    419x      8x
12.5%    $270,400    415x      7x
12.6%    $268,254    412x      7x
12.7%    $266,142    409x      7x
12.8%    $264,062    406x      7x
12.9%    $262,016    403x      7x
13.0%    $260,000    399x      7x
13.1%    $258,015    396x      7x
13.2%    $256,061    393x      7x
13.3%    $254,135    390x      7x
13.4%    $252,239    388x      7x
13.5%    $250,370    385x      7x
13.6%    $248,529    382x      7x
13.6%    $246,715    379x      7x
13.8%    $244,928    376x      7x
13.9%    $243,165    374x      7x
14.0%    $241,429    371x      7x
14.0%    $239,716    368x      7x
14.2%    $238,028    366x      7x
14.3%    $236,364    363x      6x
14.4%    $234,722    361x      6x
14.4%    $233,103    358x      6x
14.6%    $231,507    356x      6x
14.7%    $229,932    353x      6x
14.8%    $228,378    351x      6x
14.9%    $226,846    348x      6x
15.0%    $225,333    346x      6x
15.1%    $223,841    344x      6x
15.2%    $222,368    342x      6x
15.3%    $220,915    339x      6x
15.4%    $219,481    337x      6x
15.5%    $218,065    335x      6x
15.6%    $216,667    333x      6x
15.7%    $215,287    331x      6x
15.8%    $213,924    329x      6x
15.9%    $212,579    327x      6x
16.0%    $211,250    324x      6x
16.1%    $209,938    322x      6x
16.2%    $208,642    320x      6x
16.3%    $207,362    319x      6x
16.4%    $206,098    317x      6x
16.5%    $204,848    315x      6x
16.6%    $203,614    313x      6x
16.7%    $202,395    311x      5x
16.8%    $201,190    309x      5x
16.9%    $200,000    307x      5x
17.0%    $198,824    305x      5x
17.1%    $197,661    304x      5x
17.2%    $196,512    302x      5x
17.3%    $195,376    300x      5x
17.4%    $194,253    298x      5x
17.5%    $193,143    297x      5x
17.6%    $192,045    295x      5x
17.7%    $190,960    293x      5x
17.8%    $189,888    292x      5x
17.9%    $188,827    290x      5x
18.0%    $187,778    288x      5x
18.1%    $186,740    287x      5x
18.2%    $185,714    285x      5x
18.3%    $184,699    284x      5x
18.4%    $183,696    282x      5x
18.5%    $182,703    281x      5x
18.6%    $181,720    279x      5x
18.7%    $180,749    278x      5x
18.9%    $178,836    275x      5x
19.0%    $177,895    273x      5x
19.1%    $176,963    272x      5x
19.2%    $176,042    270x      5x
19.3%    $175,130    269x      5x
19.4%    $174,227    268x      5x
19.5%    $173,333    266x      5x
19.6%    $172,449    265x      5x
19.7%    $171,574    263x      5x
19.8%    $170,707    262x      5x
19.9%    $169,849    261x      5x
20.0%    $169,000    259x      4x
