Rate   Price       Weekly x  Annual x
~~~~   ~~~~~       ~~~~~~~~  ~~~~~~~~

 0.0%  $8,450,000  13000x    250x
 0.1%  $7,473,245  11497x    221x
 0.2%  $6,644,512  10222x    196x
 0.3%  $5,938,692   9136x    175x
 0.4%  $5,335,212   8208x    157x
 0.5%  $4,817,186   7411x    142x
 0.6%  $4,370,720   6724x    129x
 0.7%  $3,984,360   6129x    117x
 0.7%  $3,984,360   6129x    117x
 0.9%  $3,355,719   5162x     99x
 0.9%  $3,355,719   5162x     99x
 1.0%  $3,099,086   4767x     91x
 1.2%  $2,673,906   4113x     79x
 1.3%  $2,497,053   3841x     73x
 1.4%  $2,339,589   3599x     69x
 1.5%  $2,198,844   3382x     65x
 1.6%  $2,072,564   3188x     61x
 1.7%  $1,958,843   3013x     57x
 1.8%  $1,856,066   2855x     54x
 1.9%  $1,762,855   2712x     52x
 2.0%  $1,678,037   2581x     49x
 2.1%  $1,600,606   2462x     47x
 2.2%  $1,529,699   2353x     45x
 2.3%  $1,464,573   2253x     43x
 2.4%  $1,404,586   2160x     41x
 2.5%  $1,349,182   2075x     39x
 2.6%  $1,297,876   1996x     38x
 2.7%  $1,250,249   1923x     36x
 2.8%  $1,205,931   1855x     35x
 2.9%  $1,164,600   1791x     34x
 3.0%  $1,125,971   1732x     33x
 3.1%  $1,089,794   1676x     32x
 3.2%  $1,055,848   1624x     31x
 3.3%  $1,023,937   1575x     30x
 3.4%    $993,885   1529x     29x
 3.5%    $965,537   1485x     28x
 3.6%    $938,753   1444x     27x
 3.7%    $913,410   1405x     27x
 3.8%    $889,394   1368x     26x
 3.9%    $866,606   1333x     25x
 4.0%    $844,953   1299x     24x
 4.1%    $824,354   1268x     24x
 4.2%    $804,734   1238x     23x
 4.3%    $786,025   1209x     23x
 4.4%    $768,166   1181x     22x
 4.5%    $751,099   1155x     22x
 4.6%    $734,773   1130x     21x
 4.6%    $734,773   1130x     21x
 4.7%    $719,142   1106x     21x
 4.8%    $704,161   1083x     20x
 4.9%    $689,792   1061x     20x
 5.0%    $675,997   1039x     19x
 5.1%    $662,742   1019x     19x
 5.2%    $649,998    999x     19x
 5.3%    $637,734    981x     18x
 5.4%    $625,925    962x     18x
 5.5%    $614,545    945x     18x
 5.6%    $603,571    928x     17x
 5.7%    $592,982    912x     17x
 5.8%    $582,758    896x     17x
 5.9%    $572,881    881x     16x
 6.0%    $563,333    866x     16x
 6.1%    $554,098    852x     16x
 6.2%    $545,161    838x     16x
 6.3%    $536,508    825x     15x
 6.4%    $528,125    812x     15x
 6.5%    $520,000    799x     15x
 6.6%    $512,121    787x     15x
 6.7%    $504,478    776x     14x
 6.8%    $497,059    764x     14x
 6.9%    $489,855    753x     14x
 7.0%    $482,857    742x     14x
 7.1%    $476,056    732x     14x
 7.2%    $469,444    722x     13x
 7.3%    $463,014    712x     13x
 7.4%    $456,757    702x     13x
 7.5%    $450,667    693x     13x
 7.6%    $444,737    684x     13x
 7.7%    $438,961    675x     12x
 7.8%    $433,333    666x     12x
 7.9%    $427,848    658x     12x
 8.0%    $422,500    649x     12x
 8.1%    $417,284    641x     12x
 8.2%    $412,195    634x     12x
